""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1/2-SBSRNA4"	1.1698329069498	-0.0743472315135719	1.24498725517019	-0.0597172631324716	0.952380822280969	NA
"A1BG"	3.70728085385466	1.03332043230795	0.723727878749205	1.42777480687051	0.153356686405202	0.290480784906013
"A1BG-AS1"	1.83289440304459	-0.161976640285579	1.02774828901568	-0.157603415171541	0.874769312291925	NA
"A2LD1"	4.45470444338025	0.450600293515548	0.664214297983003	0.6783959557689	0.497520672641686	0.648977422998631
"A4GALT"	3.22147854570391	-0.254427579641776	0.82098315330251	-0.30990596898159	0.756632463540781	0.848308967830898
"AAAS"	54.5647710409496	-0.168320939306962	0.322498289428039	-0.521928161558575	0.601720349694323	0.734446641858111
"AACS"	21.5162418412589	-0.917876985004002	0.420251230857567	-2.18411492366358	0.0289538043379121	0.0874161470402276
"AADAT"	5.63746546049818	-0.538240406009978	0.588103882044321	-0.91521314931469	0.360079742889731	0.520463492915777
"AAGAB"	59.9604667289161	-0.0889600818637394	0.265265801606667	-0.335362045634697	0.737351995032665	0.834541241193054
"AAK1"	4.90803202609608	-0.0308771291478523	0.64850828979214	-0.0476125434846006	0.962025035113167	0.978522188894491
"AAMP"	97.2400137411398	0.335926477912805	0.268649116579878	1.25042837359535	0.211143105136258	0.364494588624691
"AARS"	147.79265546652	-1.11881523398268	0.27072009317237	-4.13273806488506	3.58467165347358e-05	0.000588599740550141
"AARS2"	5.14896703695499	-1.44663689918866	0.729968760744087	-1.98177918972045	0.0475039595782994	0.125637977261444
"AARSD1"	32.8915261674736	0.929828595838191	0.369373365171298	2.5173136005813	0.0118253522716744	0.0447658907437572
"AASDH"	1.98430856686099	-0.450901639518056	0.967599648683403	-0.466000210036858	0.64121535021191	NA
"AASDHPPT"	27.8519153705381	-0.566012778773233	0.333140435744124	-1.69902154780145	0.0893151236930423	0.198114589369922
"AATF"	72.3414506739106	-0.00340797136649007	0.245638439680822	-0.0138739334564994	0.988930557817421	0.993813411728212
"ABCA11P"	1.27482504645837	-0.955533879368639	1.24633625583558	-0.76667422206058	0.443275233828061	NA
"ABCA2"	5.78330563896224	-1.80806192088132	0.680563006676098	-2.65671495973896	0.00789061279159346	0.0330329460165122
"ABCA3"	13.47081124083	-1.65132603886057	0.465046081060975	-3.55088690370891	0.000383935360564011	0.00341786638856225
"ABCA5"	4.22202876861496	0.78411373477186	0.693821306259187	1.13013787224191	0.258418133626777	0.418591386135549
"ABCA7"	3.498045034652	-2.89722499433664	1.01143303033348	-2.86447536064884	0.00417700649452473	0.0205586906569374
"ABCB10"	12.2752020594142	-1.34840149268335	0.478198791567138	-2.81975094136982	0.00480609360555127	0.0227852430567626
"ABCB6"	54.4871235494302	-0.7317656394518	0.297634408802801	-2.45860565112495	0.0139477730473266	0.0505212840031963
"ABCB7"	5.68401281971055	0.273228105421866	0.589114975607876	0.463794194231673	0.642795203314344	0.767174697123784
"ABCB8"	12.4162871854666	-0.0543085393063341	0.44560115252205	-0.121877017146285	0.902996417577597	0.943383749929178
"ABCB9"	3.62298309197304	0.104773335243922	0.724137780587934	0.144687016825522	0.884957990358645	0.932566769358876
"ABCC1"	45.6463855096387	-1.71723893806027	0.316878299459655	-5.4192380512914	5.98535769349273e-08	3.45319161354624e-06
"ABCC10"	2.09844524969381	-4.30204204755928	1.23744945785491	-3.47653960349763	0.000507929206211117	0.00420605220327606
"ABCC2"	64.4411705149284	-1.62095989091772	0.346738835893848	-4.67487262203871	2.94136124627073e-06	7.94242763123436e-05
"ABCC3"	146.038151009132	-1.26691051268416	0.274697807126654	-4.61201538496458	3.98783470487012e-06	0.000101210477918314
"ABCC4"	25.361567697549	-1.34156618060266	0.371676799702084	-3.60949669626403	0.000306791680910936	0.00289982682816264
"ABCC5"	4.94884837142337	-0.401042065737203	0.672905818402289	-0.595985433280122	0.551184957989004	0.6925396627928
"ABCC6"	2.05885340719937	-0.589877986689446	0.949190563931928	-0.621453698660819	0.534301149879087	0.679655159934731
