"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
72236,59284.4,79.36,1.10025
65262.4,93114.1,219.48,1.20356
73428,87372.9,116.56,1.29137
82688,60690.6,508.4,1.31513
100236,116992,197.16,1.31823
91281.6,70875.9,143.84,1.32443
74704,68549.7,131.44,1.34819
77107.2,82266.6,48889.5,1.35232
103452,74564.9,106.64,1.35439
57474.4,47297.3,182.28,1.38125
77471.2,78653.2,65.72,1.38332
84456.8,64852,64.48,1.38332
79965.6,115526,83.08,1.38538
90279.2,73601.4,496,1.38642
69086.4,43396.3,102.92,1.38745
92222.4,94393.8,121.52,1.38745
83008.8,55359.8,23.56,1.38848
105919,98413.8,276.52,1.38952
83708.8,75178.7,93,1.38952
87371.2,94533.9,111.6,1.39055
87785.6,74083.8,104.16,1.39158
78153.6,76705.2,310,1.39158
79072,66853.4,45.88,1.39365
106620,107703,111.6,1.39365
71757.6,55470.2,21222.6,1.39365
106350,121148,66106.9,1.39778
74068.8,90812.6,190.96,1.40088
74880.8,66580.6,49.6,1.40398
64152.8,47391.6,48.36,1.4515
75263.2,88151.6,621.24,1.4608
80286.4,51295.1,112.84,1.46803
80773.6,87261.3,193.44,1.47113
65832,67973.1,112.84,1.47216
74894.4,76278.6,68.2,1.4732
75674.4,70511.4,66.96,1.4732
92888,68704.7,86.8,1.47423
79100.8,82837,43233.8,1.47526
83602.4,110498,99.2,1.4763
72928,49151.1,91.76,1.47836
83240,75570.6,68.2,1.47836
90324,83226.3,305.04,1.48146
103679,99532.3,262.88,1.48353
90020,85097.5,44173.8,1.48353
70838.4,73186,44.64,1.48456
90394.4,147065,514.6,1.48559
87336,66864.5,64.48,1.48766
64220,49199.5,80.6,1.48766
86998.4,75643.7,138.88,1.48869
75959.2,53269.2,53.32,1.53105
88416.8,97187.5,107.88,1.58994
77252.8,52023,107.88,1.592
92215.2,72931.8,349.68,1.59304
84136,73988.3,193.44,1.5951
111490,97516.1,203.36,1.59717
61097.6,50291.9,60.76,1.59717
107146,100392,1701.28,1.59923
73442.4,51695.6,18.6,1.6013
68572,66889.3,2103.04,1.60233
75316.8,60220.6,124,1.6044
81343.2,71708,58.28,1.60543
104566,98434.9,106.64,1.60543
89770.4,90717.2,70.68,1.6075
104850,88672.4,1628.12,1.6075
87284,103240,102.92,1.6106
68748.8,85505.4,127.72,1.61163
64980.8,55420.6,174.84,1.6168
90768,64544.5,162.44,1.61783
