"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
73130.4,61801.6,67067.9,1.2756
73114.4,77470.2,2171.24,1.40882
69505.6,59977.6,259.16,1.41083
70741.6,77976.2,1727.32,1.41285
83104,99786.5,791.12,1.41386
64746.4,48011.6,2875.56,1.41487
71443.2,95153.9,68100.8,1.41487
73551.2,87710.2,279,1.41689
72789.6,85955.6,560.48,1.54102
75214.4,61190.3,27193.2,1.54506
71814.4,58329.6,262.88,1.58542
92352.8,112457,695.64,1.5935
74135.2,65830.4,5308.44,1.59451
78118.4,85954.3,872.96,1.59652
90504,123044,20690.6,1.59854
65340.8,85684,51602.6,1.59955
72492.8,74819.1,25997.8,1.59955
73736.8,72824,538.16,1.63588
58749.6,52289.6,2455.2,1.64496
72833.6,100850,886.6,1.70552
76043.2,65667.9,1323.08,1.71258
86081.6,91290,58028.3,1.71258
75586.4,68185.1,55669.8,1.71359
90828.8,120522,4214.76,1.71561
61459.2,56913.5,434,1.72166
72800.8,51270.3,912.64,1.8024
70884.8,84922.6,9157.4,1.80845
62400,56886.2,18789.7,1.81148
93599.2,109467,54052.8,1.81653
66364.8,47704,164.92,1.84377
92552,117965,2401.88,1.8468
77860,78818.1,621.24,1.84882
78025.6,81996.2,360.84,1.85185
72018.4,107434,467.48,1.85487
74737.6,85727.4,55967.4,1.85689
84433.6,108247,483.6,1.89322
90177.6,131767,922.56,1.89423
80071.2,60675.7,44821,1.89726
63608.8,60415.3,10168,1.93056
75939.2,59936.6,67979.3,1.93965
64313.6,85578.6,302.56,1.94166
86535.2,84902.8,1004.4,1.94267
61472.8,55268,3503,1.94267
68229.6,85734.8,29245.4,1.9457
74840,72464.4,673.32,1.9457
64866.4,47349.4,22432.8,1.94671
84788.8,89644.6,628.68,1.94772
69372,57351.2,2740.4,1.94772
68158.4,65431.1,302.56,1.95377
75812.8,107193,906.44,1.95983
76032,79914.3,188.48,1.96084
70512,63881.1,4695.88,1.96185
82326.4,98277.4,6510,1.96185
75364.8,107979,53007.5,1.96185
97555.2,99813.8,4364.8,1.96286
97813.6,112917,19836.3,1.96488
71680,57691,358.36,1.96689
78192,89958.3,9176,1.96689
72380,57301.6,6369.88,1.96689
85051.2,109974,38595,1.96992
79184.8,77249.5,7311.04,2.06882
86326.4,103541,94869.9,2.07084
66526.4,63995.2,25154.6,2.12735
78496.8,71214.4,18497.1,2.13139
62804.8,65765.9,61874.8,2.15561
60421.6,55274.2,234.36,2.16167
65014.4,65080.2,855.6,2.16267
80168,84151.4,2592.84,2.16469
72476,87890,250.48,2.16469
77928.8,82746.4,484.84,2.16772
82839.2,77009,869.24,2.18992
62123.2,56808.1,11931.3,2.19194
71640,99426.9,602.64,2.19598
64201.6,81407.2,96969.2,2.198
66160,53342.3,12696.4,2.19901
62487.2,68038.8,42843.2,2.19901
65956.8,60645.9,8489.04,2.20001
78718.4,79963.9,42341,2.20001
73526.4,74688.9,18197,2.20304
80298.4,75183.7,13268,2.20304
62692.8,64270.4,6141.72,2.20304
75166.4,72140.7,6687.32,2.20405
76052,79201.3,66247,2.20405
72609.6,81528.8,4659.92,2.20506
69224,65091.3,133.92,2.20506
77420,85379,24082,2.20607
74845.6,69696.7,11265.4,2.23937
74519.2,61934.3,4840.96,2.2535
65892.8,66757.9,79239.7,2.25855
68110.4,76925.9,90.52,2.27066
64836.8,71152.4,869.24,2.28579
86845.6,105125,93946.1,2.28781
82197.6,90403.4,380.68,2.28983
61580.8,60776.1,14475.8,2.29387
78729.6,118568,703.08,2.3191
68560,62771.3,1478.08,2.32213
64533.6,58406.5,1117.24,2.32213
71536.8,79125.6,28471.6,2.32515
64508.8,57151.6,7616.08,2.32616
70092.8,68000.4,422.84,2.34937
62704,65866.3,306.28,2.35341
70506.4,74135.9,143.84,2.36148
81442.4,94586,17131.8,2.3635
71478.4,78345.7,7203.16,2.36653
67346.4,85135.9,150.04,2.36653
68614.4,68707.2,561.72,2.37359
60395.2,35936.4,9375.64,2.3746
64708.8,66803.8,169.88,2.38167
77407.2,109575,5728.8,2.38268
82556,95414.3,44890.5,2.3857
110706,131031,65915.9,2.3857
76349.6,84106.7,8120.76,2.45534
71602.4,73953.6,161.2,2.49167
67121.6,63556.2,3414.96,2.49873
67693.6,74717.4,334.8,2.50176
72065.6,80520.6,634.88,2.50378
68170.4,66447.9,11054.6,2.50882
64253.6,88958.8,20483.6,2.51084
80319.2,93414.2,1375.16,2.51185
70040.8,72928.1,1000.68,2.51488
86350.4,70544.8,71145,2.51589
73685.6,62751.4,823.36,2.51791
81664,101778,23984.1,2.51791
79648.8,79877.1,13549.5,2.51892
69795.2,89158.5,571.64,2.51892
84042.4,101307,336.04,2.52093
71971.2,79955.2,29452.5,2.52093
83370.4,78932.2,8269.56,2.52093
59774.4,42060.8,608.84,2.55323
72502.4,64007.6,58203.1,2.63497
78820,78788.4,535.68,2.63598
70953.6,57769.1,33286.6,2.63901
97088,139841,632.4,2.7147
80137.6,110567,631.16,2.71672
74594.4,66425.6,766.32,2.74094
63685.6,62792.4,2395.68,2.74396
67350.4,79770.4,5446.08,2.74396
68233.6,77939,13568.1,2.74497
83316.8,85365.3,49965.8,2.75002
105548,110441,42773.8,2.75506
69344,51808.4,6223.56,2.75607
59133.6,65198,60.76,2.8035
64058.4,57652.6,378.2,2.80552
85337.6,82782.4,2493.64,2.8136
84164.8,96813,64406.8,2.86406
66492,48332.7,130.2,2.86708
90329.6,109999,858.08,2.87717
65318.4,64119.2,257.92,2.88928
87789.6,100258,3655.52,2.89231
71708,89453.6,260.4,2.89635
63912.8,64832.2,15576.9,2.89736
71882.4,63076.3,6522.4,2.89736
68240,88802.6,290.16,2.89938
83240,97963.7,9282.64,2.89938
60537.6,65844,426.56,2.90341
70374.4,68053.7,33022.4,2.90543
64624,52806.6,1791.8,2.9347
80642.4,74263.6,1142.04,2.9347
67890.4,50724.7,586.52,2.93672
96168.8,127767,151278,2.93672
79244,67118.7,980.84,2.94075
62011.2,51775,178.56,2.94176
88266.4,99488.9,28353.8,2.94277
83299.2,94072.6,2183.64,2.94479
75895.2,71391.8,93778.7,2.9458
85788,121885,74429.8,2.94681
84143.2,137706,32826.5,2.94681
88340.8,107701,14965.6,2.94782
84901.6,101654,1274.72,2.94883
69174.4,64915.2,18746.3,2.94984
64513.6,81773,295.12,2.94984
62119.2,81420.9,48449.3,2.95185
103888,103767,88386,2.97607
81359.2,111219,2037.32,2.9791
70887.2,84023.6,1080.04,3.06387
68797.6,63144.5,5436.16,3.07598
67979.2,69301.1,60601.3,3.078
65289.6,64503.6,5756.08,3.07901
61058.4,51274,8470.44,3.08305
75012.8,66890.6,197.16,3.08406
91051.2,148036,99860.9,3.08608
66804,59506.4,419.12,3.08809
69142.4,55487.5,713,3.13048
78447.2,96101.2,6761.72,3.13553
68739.2,64985.9,33057.2,3.19204
63892,42238.1,4867,3.1991
68047.2,72543.7,26724.5,3.20011
66562.4,52747.1,50970.2,3.20516
74553.6,85072.7,1030.44,3.20617
62598.4,57816.2,580.32,3.20819
70341.6,59878.4,70978.8,3.2092
80573.6,130485,41133.3,3.21727
60668,67368,7778.52,3.21828
80444.8,110764,81171.6,3.21828
71122.4,66073.4,10449.5,3.21828
67602.4,92913.2,34078.9,3.22131
81944,80354.5,1304.48,3.22131
83590.4,129299,18311.1,3.22231
102109,107458,19894.6,3.22231
72120.8,65395.1,462.52,3.22433
66890.4,70138.1,45989.1,3.22534
75118.4,75648.7,15175.1,3.28993
82776,104078,88263.2,3.29296
67379.2,67250.2,405.48,3.34947
70893.6,60269,9896.44,3.36158
70846.4,73307.6,245.52,3.39186
70103.2,56322,566.68,3.41507
61763.2,67188.2,214.52,3.41608
