"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
77160.8,102516,80.6,1.01862
98404,108686,44.64,1.04537
93042.4,122858,122.76,1.0464
73576.8,65046.7,34.72,1.1997
81560.8,94550,1243.72,1.23777
95831.2,101205,76.88,1.30774
93055.2,78250.2,104.16,1.31186
76939.2,92238.6,257.92,1.31391
87813.6,91030.9,498.48,1.31494
93667.2,76927.1,43.4,1.31906
72964.8,61677.6,64.48,1.32935
65206.4,54438.5,50.84,1.35404
74908.8,54166.9,85.56,1.36536
87188.8,63144.5,106.64,1.36844
79204,64261.8,209.56,1.41269
78212,72690,-2.48,1.42195
83376,108360,70.68,1.42401
89624,73599,84.32,1.42401
64878.4,61949.2,33.48,1.45796
80706.4,73421.6,142.6,1.46002
97451.2,75317.6,34.72,1.46002
90028,91652.1,90.52,1.46105
88112.8,64173.7,584.04,1.46208
74621.6,48885.8,102.92,1.46413
85684.8,72902.1,44.64,1.46413
93292,87177,43.4,1.46516
86643.2,66193.7,1318.12,1.46722
76155.2,53187.3,70.68,1.46825
95146.4,84786.2,52.08,1.51661
59303.2,41499.1,-1.24,1.51764
82256.8,112148,151.28,1.52072
109181,82212,101.68,1.52278
63022.4,61329.2,38.44,1.52793
88796,82045.8,127.72,1.52998
79383.2,53786.2,55.8,1.52998
82154.4,68813.8,47.12,1.53101
84912,63489.2,53.32,1.5341
81061.6,86354.8,131.44,1.53616
105216,115315,66132.9,1.53719
78127.2,47245.2,35.96,1.53924
63149.6,52619.4,-19.84,1.5413
74564,106654,265.36,1.54233
79585.6,65220.3,293.88,1.55365
75404.8,52507.8,42.16,1.56188
82599.2,84925.1,313.72,1.56291
99828.8,103220,187.24,1.56497
68600,75756.6,99.2,1.56599
75295.2,74369,167.4,1.56805
67925.6,92065,207.08,1.56908
99279.2,97390.8,162.44,1.56908
90646.4,134050,257.92,1.57217
87516.8,81377.5,105.4,1.57217
95574.4,102725,117.8,1.57423
83864.8,63459.5,138.88,1.57526
100353,79632.8,2890.44,1.57731
76082.4,48890.7,100.44,1.60098
71756,70042.6,29.76,1.61641
78512.8,75669.8,97.96,1.63082
76465.6,70479.1,81.84,1.63287
62696,49051.9,68.2,1.63493
94478.4,93715.5,97.96,1.63802
72608.8,49670.7,66.96,1.64008
64502.4,77497.5,-11.16,1.64213
76221.6,45708.9,135.16,1.64522
88310.4,66287.9,78.12,1.64625
76956,89244,757.64,1.64728
79378.4,45086.4,-3.72,1.64934
83680.8,56303.4,26.04,1.65139
84699.2,73927.6,275.28,1.65242
86064.8,128817,252.96,1.65345
78893.6,57736.9,38.44,1.65448
97211.2,147120,178.56,1.65551
94802.4,98970.6,63.24,1.65654
84014.4,110092,179.8,1.65757
98723.2,79936.6,68.2,1.6586
112607,98164.6,75.64,1.65963
92908.8,84504.8,63.24,1.66168
78491.2,87444.8,55.8,1.66168
76458.4,52939.3,158.72,1.66374
