"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
101981,135820,182.28,0.74615
62636.8,46651.3,136.4,0.831741
67004.8,57638.9,-3.72,1.08247
99056,125090,11.16,1.09455
92603.2,106675,151.28,1.12879
96220.8,107754,131.44,1.13081
67336,56840.4,-1.24,1.15094
73538.4,79688.6,135.16,1.15296
68550.4,53550.6,130.2,1.15497
77971.2,85173.1,17.36,1.15799
70556.8,55497.4,32.24,1.17712
84322.4,64426.7,54.56,1.17914
84736,128924,188.48,1.18015
84380.8,77359.9,112.84,1.18115
82771.2,89934.7,97.96,1.18216
69383.2,66718.2,74.4,1.18317
109890,134397,86.8,1.18619
75123.2,77399.6,121.52,1.18719
86832,113400,37.2,1.18719
85591.2,72859.9,86.8,1.1882
101554,78503.2,95.48,1.19122
103360,93705.6,130.2,1.19223
71248,60993.1,73.16,1.2164
93863.2,94736,74.4,1.21841
71772,89742.5,78.12,1.22042
76704.8,52577.2,55.8,1.22143
105328,108413,93,1.22445
88171.2,76491.9,59.52,1.22647
60412.8,53259.2,54.56,1.28688
86014.4,73158.8,120.28,1.2899
92035.2,107448,79.36,1.29393
66490.4,42529.5,57.04,1.29695
71380,76009.5,99.2,1.29796
76812,50655.2,65.72,1.30803
59780,37444.3,42.16,1.30904
86775.2,72830.2,62,1.31004
82665.6,66993.5,99.2,1.31206
93110.4,108928,34.72,1.31306
110701,120467,74.4,1.31407
78219.2,58180.8,60.76,1.31508
67496,61877.2,35.96,1.31508
90755.2,72933.1,143.84,1.31709
81421.6,71069.4,130.2,1.3181
79337.6,64415.5,43.4,1.3181
101141,103328,45.88,1.32011
66953.6,81542.4,84.32,1.32011
91054.4,87722.6,91.76,1.32112
71901.6,87778.4,78.12,1.32213
85272.8,102567,58.28,1.32313
74756.8,68200,81.84,1.32313
87096,96232.7,137.64,1.32414
90303.2,74073.9,89.28,1.32414
77851.2,95055.9,173.6,1.32414
106321,134452,221.96,1.32515
92248,74434.7,96.72,1.32615
100687,95994.6,106.64,1.32817
87493.6,86554.5,18.6,1.32817
71387.2,54507.9,106.64,1.33018
61986.4,75818.6,34.72,1.33622
90631.2,76362.9,62,1.35938
69687.2,65818,71.92,1.3624
74122.4,45979.2,162.44,1.38053
72463.2,55275.5,76.88,1.38154
76686.4,52829,34.72,1.38355
81128,62044.6,101.68,1.38456
58279.2,46416.9,121.52,1.38556
79111.2,98390.3,117.8,1.38657
89536,87671.7,86.8,1.38858
100962,138718,262.88,1.39161
73928,68563.3,110.36,1.42383
85520.8,137908,140.12,1.42786
75872,54963,62,1.43188
91310.4,98566.4,159.96,1.4349
74944.8,82187.2,60.76,1.43692
85696.8,93616.3,52.08,1.43893
68824.8,60686.8,57.04,1.43893
92320.8,102609,63.24,1.44095
61916,45485.7,14.88,1.44296
96078.4,98634.6,126.48,1.44397
84952,69405.3,86.8,1.44598
108265,147251,194.68,1.45001
84604,94964.2,59.52,1.45102
86526.4,97839.7,162.44,1.45706
69976,85703.8,125.24,1.45907
104338,92326.7,33.48,1.45907
77655.2,63882.3,34.72,1.46008
87163.2,97452.8,49.6,1.46108
76156,67870.2,53.32,1.46108
83039.2,69573.9,52.08,1.46108
105775,117798,163.68,1.46209
84443.2,67659.4,54.56,1.4631
62540,49521.9,105.4,1.46511
107009,114675,76.88,1.46511
100592,103356,138.88,1.47921
71700,98783.4,97.96,1.48122
69500.8,46750.5,13.64,1.49633
76065.6,57534.8,84.32,1.49935
69164,88634,106.64,1.49935
84856,81477.9,120.28,1.50036
78136,81066.2,76.88,1.50136
80537.6,71897.7,33.48,1.50237
86404,105726,37.2,1.50338
75499.2,76325.7,38.44,1.50438
85791.2,87317.1,127.72,1.50438
105487,125056,164.92,1.50539
73699.2,64920.2,42.16,1.5064
64421.6,63558.7,3.72,1.5064
86472.8,87980.5,29.76,1.5074
92543.2,107197,65.72,1.5074
67708,70739.5,57.04,1.50841
81660.8,92089.8,94.24,1.50841
82911.2,114229,84.32,1.50942
65348,87695.3,54.56,1.50942
85115.2,104676,119.04,1.50942
72901.6,101442,95.48,1.51043
104260,132200,93,1.51043
105374,104548,74.4,1.51143
78716,77927.8,99.2,1.51143
81264.8,73770.1,16.12,1.51244
81000,99800.2,287.68,1.51244
107811,132840,102.92,1.51345
92346.4,146244,183.52,1.51345
84495.2,63225.1,-4.96,1.56077
57092.8,52364,45.88,1.57286
62264,44828.5,18.6,1.57588
98208.8,89676.8,136.4,1.5789
75496,103907,-6.2,1.58091
61299.2,51783.6,28.52,1.58997
64724.8,53739.1,95.48,1.59199
76425.6,54525.3,47.12,1.593
66798.4,39999.9,88.04,1.59501
61941.6,57715.8,-37.2,1.59501
66547.2,44940.1,1.24,1.59602
89756.8,67736.2,132.68,1.59702
80249.6,69352,69.44,1.59803
76779.2,85633.2,124,1.59803
68356,72895.9,102.92,1.59904
76705.6,62504.7,-6.2,1.60105
110014,113164,6.2,1.60105
94604,123534,148.8,1.60206
80376,62901.5,143.84,1.60407
75797.6,78396.5,78.12,1.60609
98248,132182,292.64,1.60709
75760.8,83953,32.24,1.64435
71462.4,42240.6,62,1.64737
89202.4,137077,126.48,1.64938
99485.6,138457,97.96,1.65241
82393.6,86444.1,90.52,1.65543
76430.4,79975,159.96,1.65643
72213.6,62202.1,78.12,1.66348
80723.2,101530,86.8,1.6655
98396.8,90098.4,115.32,1.66751
78894.4,76013.2,174.84,1.66952
85952.8,97553.3,137.64,1.66952
74732,67239,55.8,1.67053
75072,59139.3,-3.72,1.67254
82786.4,74380.2,104.16,1.67456
67363.2,57674.9,-9.92,1.67456
81804,60512,104.16,1.67557
63905.6,60562.8,81.84,1.67758
84109.6,107374,112.84,1.67959
90101.6,68467.8,104.16,1.6806
62820.8,52836.4,28.52,1.68161
88556,112771,65.72,1.68261
82115.2,70201.4,55.8,1.68362
77531.2,58675.6,38.44,1.68362
79220,81920.6,78.12,1.68463
62706.4,56185.6,105.4,1.68563
95628.8,117656,155,1.68664
96081.6,75979.8,54.56,1.69671
65664.8,54779.5,74.4,1.69772
83576,65016.9,97.96,1.69872
73907.2,82866.7,54.56,1.69973
100783,116517,55.8,1.70074
89461.6,62643.6,107.88,1.70175
81468.8,50227.4,79.36,1.70275
87441.6,74499.2,75.64,1.70275
100672,101692,194.68,1.70376
71219.2,53517.2,70.68,1.70376
93974.4,107499,62,1.70577
87716.8,88016.4,12.4,1.70577
62894.4,51458.8,52.08,1.70879
90271.2,111874,68.2,1.7098
63439.2,70423.3,58.28,1.7098
61848.8,54097.5,35.96,1.73095
71156,58590,86.8,1.73195
64836,48977.5,80.6,1.73397
80797.6,56031.9,106.64,1.73498
76343.2,75821,95.48,1.73498
93226.4,116523,100.44,1.73598
78556.8,87308.4,126.48,1.738
92100,95365.9,119.04,1.74102
77139.2,89565.2,37.2,1.74504
85318.4,81119.6,95.48,1.74807
94257.6,81962.8,91.76,1.75109
65118.4,42447.7,308.76,1.75713
86619.2,69857.9,24.8,1.75914
89744,102569,153.76,1.76317
79096,94940.6,57.04,1.79439
89188.8,71979.5,59.52,1.7964
85230.4,115321,182.28,1.79841
62624,52908.3,135.16,1.79942
82731.2,83677.7,125.24,1.80244
70667.2,66099.4,85.56,1.80345
85927.2,84529.6,71.92,1.80345
85544,82184.7,84.32,1.80546
62618.4,44264.3,33.48,1.80546
76751.2,99596.8,164.92,1.80647
