"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
67070.3,36555.8,553.586,958.946,314.986,0.00305279
63242.1,49817.4,28641.7,9360.76,363.745,0.0296082
96524.7,50851,295.516,821.891,308.11,0.0297923
80991.9,33183.6,12400.1,5186.69,219.686,0.0321136
93119.8,56459.3,13077.6,3373.05,371.048,0.0750448
61316.6,45217.9,277.66,236.058,267.335,0.0794534
89875.3,43642.7,36834.4,4816.97,287.509,0.0841532
45530.7,66218.4,35822.9,5359.66,313.654,0.0920663
66038.6,51117,69205.8,7297.18,310.076,0.0965838
56158,29438.2,44.417,606.317,246.39,0.100781
57909.4,48848.4,60742.6,5926.14,291.24,0.107595
91085.4,48005.2,585.883,733.048,308.742,0.112053
129901,79458.2,315.475,688.839,441.885,0.126116
39291.9,22671.7,260.807,338.862,151.444,0.131719
61398.2,62679.8,288.811,1221.93,438.173,0.13739
60730.7,34481.5,14854.6,3965.69,203.369,0.138982
101066,83840.6,63188.4,9271.98,375.981,0.14153
43480.9,26677.1,150.717,483.896,216.27,0.151766
74906.9,35751.8,20546.1,5153.77,4088.04,0.154133
132224,61849,57358.6,8133.8,449.233,0.165344
73061.6,43007.9,667.479,692.396,309.023,0.173131
110990,53873.3,240.351,664.337,429.573,0.178938
70469.6,30377.9,2941.45,589.328,271.996,0.192316
62771.6,35996.1,179.563,628.33,252.695,0.19356
122819,53410.4,328.312,694.435,437.348,0.196213
62263.5,66183.4,23387.2,1150.92,356.992,0.200725
128935,55873.1,412.233,687.497,342.416,0.205262
64580.7,25319.9,110.677,639.596,203.013,0.207923
96806.7,64849.2,21158.4,4669.85,50610.4,0.209435
39744.3,20086.5,289.491,644.248,164.158,0.218869
49739.5,29012.6,4250.64,5469.69,252.482,0.236133
94002,36467.7,21574.7,4402.82,290.255,0.250902
50914.4,35319.5,28341.2,1222.55,247.099,0.251236
70192.6,27365.6,213.177,547.567,292.226,0.256109
56678.1,38942.7,14392.6,5173.52,245.823,0.27864
95982,61767.5,39664.4,8834.6,340.181,0.282534
80986.7,69039.4,43799.1,6389.68,412.059,0.28987
74331.8,56294.8,15423.5,5370.53,265.781,0.293359
28112.9,20334.1,15277.8,3075.83,276.372,0.299206
53238.7,40953.3,25385.8,3920.28,209.644,0.30073
66087.4,36046.1,467.914,560.568,234.898,0.30217
66499.2,29030.3,517.866,354.304,210.286,0.312423
64684.8,50962.1,23271.3,8354.97,364.998,0.323555
60321.7,79583.4,43034.7,6202.42,317.861,0.334323
80580.7,39389,7809.83,4370.46,280.885,0.336369
70478.2,41717.8,5715.91,3794.9,271.078,0.33796
56797.3,25241.2,160.786,489.843,180.071,0.33842
45307.4,57441.9,43092.9,5485.9,259.135,0.344022
74508.1,56776.3,38878,7885.78,329.626,0.346963
93039.4,55266.2,59023.5,11117.4,391.38,0.348596
81295,81349.2,58247.1,5143.51,382.991,0.351298
124864,47581.2,434.889,865.008,326.476,0.352979
61418.4,31055.1,6500.3,3852.31,196.731,0.38666
84293.8,39594.8,9899.17,2525.88,3645.93,0.400303
74125.1,39566.1,199.057,752.556,256.517,0.426259
66396.8,40358.9,3858.2,4212.4,402.938,0.428913
59039.5,30957.1,294.642,580.157,249.366,0.435092
34941.1,24120.2,1521.29,1099.04,208.789,0.437015
60287.2,26776.2,915.677,225.129,160.354,0.438406
77574,39570.6,98.4712,493.784,275.102,0.450133
95266.6,55918,50524.9,6841.1,361.866,0.453135
132724,79890.4,405.757,1079.97,688.871,0.455333
40560.9,39423.8,971.601,266.955,296.236,0.459665
92840.3,46214.8,622.662,447.158,309.795,0.460272
59006.9,72389,913.875,535.797,373.966,0.463991
48110.4,42011.7,19120.8,1860.05,1747.83,0.474939
40976.3,21520.7,949.143,348.518,166.383,0.478801
74879.5,37891,908.662,577.593,263.378,0.497165
60961.2,32705.1,77.9393,578.905,239.653,0.498344
101730,49946.7,1083.01,559.79,346.395,0.502784
48548.6,36584.3,5007.99,2159.51,826.866,0.503543
65400,52207.8,56146.4,5539.58,308.672,0.504134
39925.3,54942.9,30164.3,7989.6,245.752,0.514789
127108,81967.5,500.023,623.073,554.146,0.518726
53452.4,27053.4,78.9069,638.771,210.713,0.542356
88749.5,73686.7,45629.6,7841.86,433.152,0.542477
73942.6,44220.6,626.706,524.662,242.42,0.547569
56882.6,34633.7,28435.8,6952,4446.64,0.547888
95117.9,48167.8,260.073,1027.78,312.461,0.555909
91695.4,77313.7,53733.6,4715.58,487.546,0.557824
31302.7,21562.4,17452.4,3780.24,157.05,0.591043
92881,48324.5,51547.9,2934.12,278.629,0.592565
65478,31880.8,171.332,644.012,237.808,0.621402
85020.3,39377.9,146.553,620.589,283.564,0.64185
61698.3,34244.5,146.352,378.377,218.192,0.644922
83012.9,37980,295.177,532.97,222.39,0.647638
83378.1,37219.8,19281.7,6376.69,295.884,0.651931
121769,65112.5,7372.38,5491.49,383.269,0.658466
55389.4,27231.5,2893.03,484.321,235.253,0.663488
120451,65470.6,134.239,655.125,337.317,0.664076
97388.1,51279.2,213.078,437.735,326.756,0.670517
106131,72286.5,18885.1,6441.43,508.719,0.675757
48324.3,19741.6,572.779,226.973,129.189,0.689703
71459.4,46988.9,258.066,351.692,260.62,0.695876
98092.1,57376.2,54330.6,8115.72,375.564,0.704437
75899.4,32278,565.618,481.71,190.658,0.704617
101412,46075.1,299.642,796.978,355.18,0.706387
119946,64359.6,26535.5,10546.8,387.915,0.707069
69245.5,46332.7,48221.8,3258.3,236.034,0.708899
94476.5,60647.1,730.077,415.643,338.924,0.712575
86938.2,47024,2647.07,830.962,338.714,0.713274
67811.9,40427.7,35486.6,3982.28,264.438,0.745856
34267.3,28518.5,20286.5,3828.02,165.306,0.747409
58029.2,24397.5,297.313,431.608,164.373,0.760468
101437,44350.5,933.75,779.396,287.79,0.780502
99607.6,69270.3,8174.89,3896.36,514.085,0.788442
71490.2,84185.2,18953.4,5750.38,4432.67,0.79044
44152.3,15406.4,137.66,354.677,140.434,0.798146
87082.5,60504.4,54611.8,5965.84,351.138,0.812255
75269.6,44427.1,12698.9,7555.08,7690.94,0.831196
95760.9,40385.4,177.369,616.744,287.72,0.842863
81857.6,46590.9,107.641,368.834,384.309,0.844159
117116,87323.2,82351.3,6970.45,491.841,0.848548
44932.2,46035.6,39724.8,6134.77,207.363,0.861302
50881.1,29499.9,18604.4,7206.04,206.65,0.875739
