"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
44502.7,32351.6,45.0901,529.239,208.504,0.0140805
42103.7,28644.8,16.8223,290.711,152.378,0.0187268
54191.2,38430.3,83.8946,456.809,198.017,0.0229613
70483.7,30378.6,89.0802,488.509,215.842,0.0248215
66881.9,35924.2,252.479,330.501,212.067,0.028398
47620,33229,67.3849,485.778,239.653,0.0373919
97310.1,56981.5,91.1631,542.886,328.436,0.0444422
96869.3,51524.3,55.3425,361.077,233.194,0.0498644
80333.3,47148.1,61.6136,604.716,276.09,0.0505305
46812.3,61418.7,112.194,846.556,387.707,0.0589543
96511.6,38740,84.861,498.63,442.091,0.0726117
75726.8,44507.8,95.529,684.637,291.663,0.0730909
77183.9,37365.1,70.9057,440.245,332.004,0.106801
70273,42137.8,72.4356,649.248,199.73,0.11884
102533,55910.7,60.1824,602.461,340.53,0.119496
43080.9,43817,894.438,285.489,197.374,0.13317
73973.2,27819,85.4712,658.412,239.582,0.134578
62679.8,44798.6,73.9651,730.066,290.888,0.139584
95131,56276.1,131.218,474.538,440.03,0.159168
45964.9,33328.5,54.2551,341.293,181.216,0.159632
39859.3,34375.1,89.7408,364.181,232.413,0.160623
49387.9,36933.4,48.2486,380.172,181.789,0.166841
52523.3,29478.5,48.145,493.42,191.23,0.178799
63187.3,43819,76.2074,424.061,259.489,0.201062
47116.8,50623.6,75.8507,346.962,356.644,0.204711
82745.1,61428.6,87.0982,637.592,404.943,0.210082
122659,78183.4,133.081,846.121,372.299,0.214509
116564,61402.5,66.8234,546.247,353.02,0.221063
121931,84655.9,85.5729,617.987,501.375,0.221123
50272.6,23746.9,45.2972,343.786,172.764,0.222261
121711,69448.5,74.8315,795.86,464.587,0.227835
48713.4,31283.2,44.0545,626.559,228.221,0.229433
88456.5,46964.6,81.9612,401.914,257.932,0.230076
39386.6,40253.1,59.7734,311.361,260.479,0.234941
46624.3,23259.7,117.904,381.224,156.331,0.238086
73279.3,30328,71.9257,518.815,259.135,0.263453
31063.8,18910.2,51.3554,430.075,140.362,0.269588
48080.7,23739.1,48.145,446.18,142.162,0.2749
38392.5,27586.7,52.8052,371.562,133.3,0.277898
50593.9,43847.4,131.319,647.543,196.303,0.2828
41290.5,22735.1,13.4058,266.828,166.096,0.30202
47041.7,34193.1,70.2425,296.807,189.8,0.310305
86067.5,43588.8,228.239,536.157,328.646,0.323759
42056.3,23711.2,45.1418,377.819,104.69,0.33284
41958.2,30320.4,42.8636,230.723,149.43,0.338683
20653,33427.4,35.0972,241.325,128.54,0.339268
103112,58165.5,81.605,541.145,392.072,0.342055
80890.3,32651.4,53.323,279.255,248.87,0.344505
43287.6,17769.8,79.0088,382.399,207.149,0.345194
47852.9,21533.7,39.3428,218.129,159.348,0.347397
46285.7,33689.7,59.5178,371.5,240.788,0.347452
93087,64917.2,64.9342,697.449,360.892,0.347673
77782.2,44954,83.3859,364.181,302.773,0.350837
110290,94577.7,181.954,633.937,509.194,0.351015
82788.4,46442.4,129.002,635.942,315.267,0.354212
73028.6,27405.5,58.0349,330.501,137.913,0.354358
85937.3,60532,125.676,594.74,390.825,0.360812
61238.7,43434.3,71.9257,512.478,209.003,0.364335
49045.5,39457.6,63698.7,7136.83,246.886,0.366267
106144,59487.2,89.0802,427.866,338.225,0.395094
97223.2,45629.9,89.5375,482.439,329.835,0.410716
78174.2,40736.1,79.7216,373.917,253.403,0.411698
49496.5,28612.2,87.5048,474.538,193.66,0.421162
82797.7,64404.1,63.7595,879.857,340.74,0.432698
64597.5,30879.7,38.7215,471.861,262.388,0.437653
83304,36120.4,38.5662,479.705,204.439,0.444656
85039.3,61977.4,38894.4,11894.8,313.023,0.457446
101290,60065.9,57.2584,507.402,330.955,0.458742
71667.9,38837.7,48.7664,342.914,306.496,0.46342
53211.3,29498.8,66.4661,331.937,176.204,0.46416
27441.2,24886.3,81.2996,302.081,159.851,0.469226
69012.2,60438.7,57.4656,465.589,287.297,0.470797
46761.9,28172.1,47.213,442.081,171.689,0.480988
99163.5,70030.6,74.6277,473.139,302,0.490086
107286,66485.7,119.47,514.047,411.3,0.493206
73499.7,43580.3,87.8098,365.547,248.374,0.496026
83453.1,51803.7,56.896,533.872,293,0.499347
87055.7,34683.4,45.4007,494.148,188.299,0.500888
44632.4,31176,2024.94,916.388,190.086,0.509402
