"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
89624,43503.7,142.134,491.844,344.301,0.00164469
56973.6,40312.9,581.353,336.867,257.083,0.00835827
34911.4,18339.5,261.933,406.166,136.904,0.0146769
48940.4,28519.9,659.636,493.178,188.442,0.0174783
92457.7,54146.9,72690.5,7285.25,323.676,0.0178288
22035.8,26187,36533.6,7332.84,158.989,0.0324847
45443.9,36601.9,3099.04,322.128,164.876,0.0396393
46539.6,27761.9,102.02,319.063,215.7,0.0431192
65603.8,39318.3,1200.17,320.689,227.155,0.0439572
31142.8,26674,46151.8,8324.03,207.221,0.0461847
64229.9,26917,376.037,277.931,155.325,0.0468118
108466,63032.1,10054.4,894.457,342.974,0.0542318
111068,78047.6,535.49,820.959,401.555,0.0597534
32393.8,27105.4,316.538,449.236,197.374,0.075342
45812.3,38744.4,168.486,395.807,153.672,0.0837829
43731.7,22301.7,62840.3,1424.35,240.93,0.138901
42699.2,51938.2,122.649,357.723,272.561,0.139952
46484.7,24433.2,115.126,345.654,154.104,0.140529
103939,66936.4,483.583,385.306,416.27,0.143786
44439.6,31192.9,9399.66,1653.72,262.247,0.163081
73070.5,36407.9,15276.7,4489.31,230.779,0.168082
28791,20507.6,1000.39,178.067,169.825,0.174661
104542,55842.2,193.247,628.508,411.99,0.176604
63702.5,43797.1,437.847,346.402,265.71,0.185038
76566.1,42757.6,154.326,266.576,308.812,0.194971
101419,66294.4,679.463,332.561,364.998,0.204427
46269,33426.7,7510.68,1457.09,251.279,0.241577
49529.8,34830.6,446.942,549.306,253.474,0.246139
82877.8,39198.2,689.693,550.625,264.862,0.247598
102348,57214.1,1791.21,1093.7,391.241,0.258134
53334.9,26150.9,241.335,470.948,193.517,0.262688
63207.8,80138.7,396527,11102,397.681,0.26612
29566,18458.8,239.319,194.521,112.505,0.303138
101155,87340,35376.9,862.585,534.555,0.312984
100130,57194.1,2108.1,511.088,382.297,0.315309
41375,22414.4,408.358,328.503,167.961,0.331504
117803,56494.5,4311.38,629.275,339.902,0.344225
93639.3,52818.3,235.727,485.05,426.129,0.365439
75411.3,48363.2,1426.49,521.89,419.167,0.368147
51255.8,24999.9,265.748,200.336,240.505,0.387623
106251,37434.5,95.9349,453.329,281.308,0.392161
94951.2,55308.8,1172.25,471.861,325.846,0.40392
65796.8,39631.4,352.769,437,236.602,0.435626
79717.8,50433.9,228.239,306.66,333.892,0.460935
36085.8,68473,123247,7511.34,358.803,0.477651
68558.5,43435.8,6518.61,763.18,238.376,0.496968
104589,53765.2,228.042,466.016,445.869,0.499006
116362,78693.6,238.679,423.754,450.537,0.500105
87550.5,98308.4,444.459,4365.67,418.133,0.501301
89928.7,50885.9,1719.99,457.053,278.135,0.502224
71118.2,35418.8,140.877,634.409,264.367,0.507973
81266.9,49417.1,216.342,461.993,259.984,0.521128
64683,32574.1,445.396,418.225,192.659,0.540096
71551.1,41300.5,15903.4,239.866,220.896,0.571317
77876,28466.5,393.439,348.145,205.081,0.580423
84877.8,54697.5,337.746,424.245,293.844,0.599854
67259.3,55411.4,502.979,357.536,361.101,0.610234
133403,71361.1,111119,6649.75,484.34,0.615103
48074,40149,9411.01,2506.99,222.034,0.622126
58406.6,31054,426.613,380.667,224.311,0.627503
72289.7,35086.6,266.677,397.782,213.706,0.681719
66258.1,26532.2,44.3134,92.4467,222.034,0.701719
46911.2,31904.7,1241.04,267.649,194.303,0.706504
70038.9,36057.4,1483.2,394.943,240.434,0.723947
100264,70390.3,576.92,647.896,371.256,0.780528
38435.9,22354.5,418.652,347.149,119.805,0.785159
100713,53702.5,1294.77,558.413,339.553,0.785663
92422,46467.6,982.902,411.153,333.962,0.787503
44922.8,31218.2,101.462,373.546,182.075,0.791104
91309.8,41681.8,250.959,291.528,249.437,0.792688
103980,68990,439447,9915.81,484.544,0.798337
121324,63306.5,1378.7,603.173,384.656,0.803461
107321,53812.5,85.1152,397.288,397.612,0.806399
36103.3,23421.4,782.103,863.766,158.845,0.838348
60609.8,39690.2,443.475,495.905,183.936,0.840763
94977.4,87128.1,135274,10644.7,442.435,0.852069
114995,93742.2,6183.56,953.54,495.861,0.856011
46408.1,30191.1,9493.19,263.291,218.049,0.897842
59834.1,45875.8,2354.64,321.565,262.176,0.904566
123653,72347.1,1427.9,438.164,447.654,0.909072
103286,63326.3,747.614,530.804,359.499,0.912792
60699.4,37629,461.993,321.815,211.711,0.919674
50941.9,39750.8,327.445,469.304,213.207,0.923617
111151,82365.9,362.914,666.798,450.811,0.92525
49277.2,32262.4,131.672,524.843,176.275,0.931378
120684,55597.2,77402.5,2574.15,335.43,0.941494
39556.4,50189.1,269.804,372.12,343.114,0.978123
77134.7,58499.5,163212,6383.71,255.597,0.981969
54932.4,24779.7,341.831,443.611,209.146,1.00531
75970.8,36793.6,131.823,934.964,249.437,1.01249
76220.1,34013.6,452.651,519.478,284.973,1.01424
37697.4,32812.2,287.789,325.254,147.704,1.02035
53225.1,17936.4,11335,2462.75,246.036,1.04165
71989.5,33248.9,215.353,399.447,203.94,1.04821
91796.5,43488.5,851.569,447.831,301.297,1.05085
115831,48877.1,588.27,626.145,311.409,1.05134
52100.9,26487.8,3018.32,374.599,158.989,1.05203
79704.6,35524.6,11062.2,510.907,330.815,1.05534
94780.1,99203.4,1303.54,821.518,562.638,1.05648
25599.4,18335.7,12.7329,217.747,130.055,1.11872
68835.2,35782.4,46258.1,5742.68,235.395,1.15622
75476.6,27516.6,1004.39,85.8751,195.303,1.16947
36330.7,20586,21772.7,1972.81,176.777,1.21787
85207.9,50354,124.717,451.863,368.058,1.22757
57846,37482.2,942.421,336.742,222.248,1.23045
30042.4,25399.3,92937.9,7707.23,157.84,1.23491
38614.7,18907.3,280.584,305.092,118.793,1.23796
42916.5,23957.6,5183.32,310.672,154.319,1.2403
90257.6,35390,592.411,333.935,265.145,1.26657
54858.9,30667.9,175.474,526.048,263.661,1.27123
67874.5,29540.4,7329.46,977.584,159.923,1.29615
36424.1,19032.4,85.5221,286.685,125.582,1.30046
94610.1,35328.7,156.38,409.614,272.279,1.31818
88319.6,64347.2,2018.37,507.342,346.883,1.32292
88781,35109.4,12341.9,774.177,282.718,1.32548
49662.3,45112.4,131121,7967.98,237.667,1.32812
124482,75777.4,281.072,517.789,407.777,1.32858
135614,64024.8,15471.6,3338.39,459.04,1.34276
57451.3,41653.4,25345.2,2694.99,206.151,1.3448
79241.6,61049.2,2100.6,472.773,350.092,1.35704
52134.4,37195.8,219.01,466.99,239.724,1.37564
63794.6,54091.9,97481.2,1942.93,295.321,1.40925
57452.9,32652.2,383.939,487.113,257.932,1.41148
47547.4,19624,1573.27,445.813,171.976,1.4146
56747.5,37140.7,22282.9,4770.56,185.581,1.41876
38824,26453.9,327.156,254.249,138.129,1.4315
82483.3,36737.7,4009.41,278.057,287.157,1.43808
46629.5,24322.7,300.418,459.005,157.05,1.47497
126701,69288.2,1182.92,540.304,449.576,1.4864
68374.2,34367.3,357.797,321.502,187.799,1.49397
69532.9,37566.3,501.732,429.952,304.74,1.50268
52779.6,32965.6,470.522,436.326,288.354,1.52267
113106,49644.3,257.38,459.554,365.554,1.53118
97438.2,47848.9,267.361,327.691,403.284,1.54383
49188.8,22888,22684.8,2975.25,172.334,1.54652
84601.5,39707.2,146.954,479.887,242.633,1.56705
66771.1,40850.5,774.991,413.983,248.303,1.59662
80769.6,43700.3,281.705,559.73,254.323,1.60086
43588.1,29352.1,784.977,468.147,153.313,1.60347
45382,26043.6,44.3134,393.832,154.75,1.60396
86896.3,46716.8,446.989,500.688,267.759,1.60888
118522,56676.1,931.266,477.517,404.045,1.62498
86967.8,45483.9,3240.5,364.678,330.465,1.62893
79603.8,30689.2,82.8262,359.152,258.498,1.629
52335.1,30779.9,378.657,311.8,216.483,1.63183
93181.2,36141.8,98.2177,5069.15,261.752,1.65049
96812.7,37606.4,777.475,174.989,303.405,1.65307
58863.7,24391.8,123.255,416.689,125.221,1.65443
68099.5,41165.6,803.196,322.253,285.466,1.67807
42924.3,23498.1,18087.6,1644.84,152.81,1.69011
123755,62175.8,866.768,414.659,416.822,1.69916
100389,64727.2,22545.4,624.018,381.048,1.70072
99287.1,38608.9,161.837,341.605,274.82,1.70379
74436,39230.2,138.062,542.166,253.19,1.71791
71419.5,32607.4,25845.1,803.626,248.232,1.72026
28352.4,43313.2,1473.94,443.244,239.37,1.76626
50854.2,23611.8,542.444,189.98,175.702,1.79514
79415.5,34988,231.394,247.347,187.727,1.82585
38090.2,26247.9,401.971,431.546,216.839,1.85066
63682.4,31909,2452.85,1054.75,260.055,1.85415
59574.9,46271.6,109.21,3567.02,234.898,1.85467
45023.8,28027.7,21488,3336.4,102.373,1.85765
48831.8,24263,193.247,461.628,218.904,1.86083
18423.4,22643.3,5944.72,2039.97,165.809,1.86192
42236.1,23828.9,194.191,753.178,183.936,1.87082
58168.2,29673.9,398.466,364.119,214.276,1.88112
47506.8,26524.5,111.486,391.239,161.431,1.88628
54022.6,33285.3,1560.07,378.872,213.92,1.88711
62360.1,47524.7,129.355,407.582,221.038,1.88894
96420,61947,766.271,2036.56,365.972,1.89091
66677.7,41371.6,4010.28,718.013,209.074,1.9033
80258.7,48088,367.643,556.437,399.272,1.90516
61941.2,33967.8,41975.2,4242.04,198.588,1.91068
55472.7,24425.6,177.07,381.286,171.976,1.91387
95737.5,48008,43970.6,2052.96,345.348,1.96183
56601.4,35861.3,100.702,319.25,238.802,1.99163
94697.5,85253.9,173.529,4217.56,529.749,1.9976
120006,50651.8,493.918,448.442,364.789,2.00649
94690.3,73532.6,341.543,454.184,374.661,2.01079
51829.1,28692.5,1580.96,353.931,224.737,2.02136
52391.1,28678.5,303.811,216.919,193.445,2.02851
60635.7,45891.3,960.689,374.413,267.971,2.03398
82887.5,34924.9,735.776,353.806,261.257,2.03581
125938,66566.3,383.939,425.78,472.797,2.03798
38665,44952.8,312677,4774.6,237.525,2.05206
64242.7,42634.5,436.345,328.065,247.666,2.05515
131265,83610,669.964,998.211,629.397,2.05593
54880.4,32981.7,186.833,391.609,261.469,2.10704
81743,54058.1,117.349,413.122,337.526,2.11092
95395.8,55812.3,144.143,597.889,377.022,2.13088
124529,56183.6,358.467,608.926,422.822,2.13219
53574.1,52168.3,22041.7,509.88,298.275,2.13416
114172,57152.6,171.033,456.32,419.098,2.15616
43510.3,30274.2,525.77,413.183,186.583,2.1681
62244,21830.4,1420.5,317.123,147.92,2.17339
80767.8,79333.5,148858,5349.53,454.927,2.17889
109245,67641.5,832.571,503.23,356.644,2.19235
82326,30122.6,266.041,354.988,219.758,2.19464
48545.3,22477.9,359.615,263.102,105.559,2.19509
73974,46464.9,220.245,422.035,303.827,2.19625
86504.9,46303.9,115.177,7138.44,286.875,2.20683
64430,33788.9,160.035,581.766,222.39,2.21032
45346.8,21828.3,13631.2,930.926,604.711,2.21599
89153.3,53803.9,769.34,345.405,379.591,2.21625
38984.4,19170.3,130.11,500.386,112.36,2.22711
28431.9,24178.7,340.726,542.346,136.544,2.26388
78720.9,40314,485.346,270.994,292.014,2.27338
63420.8,33636.9,7685.27,1111.66,190.658,2.28714
42362.9,30579.1,1842.27,353.06,187.727,2.30025
99416.6,53799.5,73208.8,8494.7,357.34,2.30226
48820.2,24995.8,51.0965,457.48,161.143,2.30697
80790.9,44356.3,106.781,363.064,257.083,2.33227
52847.6,27619.1,448.628,430.381,145.977,2.33526
91471.5,50964.7,1630.94,493.178,315.898,2.34604
34897.3,23756,641.222,399.817,204.154,2.34891
99463.9,47989.7,233.413,448.381,290.044,2.35537
98284.1,54770,125.171,380.11,300.384,2.35926
40639.8,29178.5,929.122,296.367,119.949,2.36957
68338.8,36815.3,12391.2,341.917,313.654,2.38311
112003,44053.3,869.253,475.45,380.91,2.4101
86297.5,39490.5,597.526,348.58,297.923,2.41702
61647.2,35611.7,202.628,287.754,240.647,2.42103
52059.9,29039.1,1549.3,139.798,181.073,2.42693
70492.7,47565.8,4459.91,474.234,278.629,2.42856
71167.6,36517.9,108.653,495.723,238.873,2.43056
86195.9,60865.2,325.131,297.058,392.419,2.43478
75627.4,51586.1,42537.4,6381.54,268.819,2.43798
126218,79631.2,411.902,649.777,517.072,2.43941
42123.1,28923,111.082,301.516,157.553,2.45566
100410,55802.7,60.6425,708.943,343.324,2.45997
43277.2,37981.8,825.264,520.262,215.7,2.4616
36796.3,24851.2,536.635,253.996,175.631,2.48596
74798.1,60610,464.932,435.714,332.354,2.5096
104829,56073.6,187.828,254.692,310.286,2.5238
101827,40850.7,145.549,413.921,316.669,2.54615
38145,19051.3,112.953,218.129,112.722,2.55552
132788,63340.5,2340.61,1965.67,463.492,2.56161
76604.8,45528.6,506.395,540.604,275.455,2.5697
