"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
84447.3,42802.7,135.245,507.281,313.233,0.0108274
106242,58079.6,137.61,595.631,387.499,0.0537111
65273.8,36416.1,621.25,582.66,258.428,0.0624153
92173.7,42839.8,79.9762,371.872,281.872,0.0665925
65941,33891.7,24.4839,301.516,179.713,0.0690879
105730,54228.2,90.4012,518.453,379.452,0.101244
81429.3,49240.2,72.0277,399.324,257.366,0.143306
101827,63298.6,128.649,451.008,376.397,0.146747
80570,45683.9,80.4343,315.057,307.338,0.148582
49473.2,26515.7,74.118,279.444,192.659,0.222003
33724.2,19147.8,40.1712,145.667,121.466,0.224647
58309.8,32660.2,64.6278,252.287,198.017,0.240007
48601.1,48574.9,54.7729,247.917,238.873,0.254218
67419.4,41023.8,87.3015,396.795,231.844,0.256348
57994.9,40463.2,60.2335,369.393,194.66,0.257484
69704,38562.8,46.7988,195.416,248.658,0.259135
60213.5,35077.3,62.4312,328.378,162.723,0.314815
62967.3,34830.4,75.0863,514.47,239.724,0.33476
57594.4,31452.3,72.8945,235.233,202.014,0.35527
103487,52139.1,132.477,409.245,345.138,0.368983
112731,61447.8,109.058,428.296,442.023,0.397835
43594.3,25838.9,102.222,318.061,149.646,0.417044
61700.3,26059.4,78.3468,522.191,183.435,0.47455
52303.4,24241.4,86.0814,292.597,176.992,0.512133
80797.1,37287.7,61.8691,327.378,186.511,0.537545
34704.8,32083.3,361.002,274.716,233.762,0.548972
64038.8,65435.1,126.583,471.982,368.962,0.557743
91182.2,45391.3,90.3504,463.212,344.301,0.571092
69956.1,28308.6,67.9464,398.152,190.229,0.578674
67518.6,36629.9,55.0836,278.246,218.049,0.609414
113079,86947.7,279.269,654.302,548.343,0.616136
56063.4,29223.4,48.3521,352.936,203.155,0.630446
46740.2,27549.2,62.0224,393.77,155.685,0.64602
70017,27441.6,157.783,329.315,169.825,0.647961
93555.1,42132.3,98.6741,417.303,297.923,0.670092
85065.7,49601.6,64.3214,383.946,280.603,0.673478
101754,55512.2,130.614,630.869,371.882,0.679846
76351.7,36148.4,39.7052,400.064,270.514,0.742029
120291,64557.8,72.8435,393.03,386.181,0.778911
87235.9,33300.6,63.6573,308.416,230.139,0.788717
65170.4,37199,252.774,393.894,281.026,0.804893
69526.1,47763.1,80.3834,455.588,319.613,0.823174
58791.8,43267.6,46517.1,5094.74,158.702,0.830826
64920.7,29700.5,84.6067,244.305,232.839,0.837456
109142,57588.2,135.296,654.537,391.31,0.843072
106496,59000.5,91.7217,2653.67,386.181,0.889931
124193,60966.5,86.6406,396.425,387.499,0.892525
96951.2,62947,467.216,345.094,404.459,0.905176
86520.3,35903.8,11213,3873.99,240.292,0.909336
56533,31052.6,100.955,280.767,167.889,0.911636
32541.5,29076.4,71.1097,498.872,217.907,0.924164
