"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
61571.8,37654.2,46.9541,15.0507,189.086,0.0089357
47369.4,30644.7,54.0998,68.3364,156.978,0.0134804
63597.3,44470.2,37.9966,40.2056,148.783,0.023545
53394.5,30283.3,58.1372,42.5166,169.18,0.0252213
36350.6,32089.9,57.7763,7.06302,161.933,0.0303212
45909.2,35789,43.951,26.7362,138.633,0.0324191
94506,56848.5,82.7245,68.4024,371.951,0.0367388
47118.2,25075.7,24.0698,7.85517,99.1851,0.0385601
85159.6,45143.5,45.349,23.039,252.412,0.0570683
71586.4,84808.3,109.665,25.8119,372.577,0.0582851
54578.6,40136.6,56.4817,24.5575,234.401,0.0607311
121695,52540.4,85.4712,69.9214,343.324,0.0641756
108016,97475.8,90.4012,46.8086,297.15,0.0647732
73549.9,42136.6,44.6758,36.1118,179.856,0.0738845
53104.9,29482.4,78.0921,-0.372768,231.205,0.0844032
33680.3,52722.3,44.8312,59.3552,191.302,0.0846298
79433.5,32869.1,69.5793,17.5594,244.263,0.0883357
71608.9,30752.5,38.6179,46.9407,214.204,0.0895914
104207,59745.1,57.828,51.497,342.835,0.0899822
61769.6,26361.9,36.4434,-26.3423,174.413,0.090887
52222.9,49305.9,77.0734,66.025,274.255,0.0939225
55763.8,35231.7,90.706,55.327,221.394,0.0965238
67011.5,35583.8,15.9423,19.4079,145.185,0.0998932
44001.5,52509.9,98.9276,65.6948,261.752,0.102266
56405.8,32269.7,52.4428,14.0605,164.589,0.10271
93845.2,55120.6,56.6888,8.84535,317.09,0.105423
62734.8,31064.5,63.5041,14.2585,192.874,0.107558
125007,69032.1,116.642,38.3568,280.956,0.108763
52324.5,28509,22.3096,36.508,121.899,0.114178
85009.1,49035.5,31.5248,13.4664,240.93,0.118665
63096.1,40253.4,42.0352,26.8683,189.872,0.118759
41839.5,26459.6,34.7348,13.9285,105.921,0.119167
51039.8,43274.2,65.3428,57.0439,252.199,0.119969
56040.5,40259.6,72.6905,37.5644,185.51,0.123272
37308.7,25933.5,35.9774,-0.497024,114.963,0.124103
119309,54178.9,81.6559,36.1118,343.393,0.131399
61072.4,51292.8,54.98,5.87482,260.62,0.139185
122307,65577.7,104.35,23.2371,410.955,0.141109
57798.4,89828,70.2936,4.48859,408.122,0.145985
98486.2,45176.1,64.5767,25.8779,284.268,0.147106
68250,32308.6,50.6305,23.4351,172.693,0.148507
45060.3,29144.4,45.5043,54.2044,115.324,0.149702
76151.8,45511.8,61.2047,14.3246,261.398,0.153444
128054,75955.2,154.026,79.1662,474.369,0.153471
118786,71945.6,100.651,38.7529,411.99,0.155039
54828.5,36415.5,69.3242,19.0778,213.848,0.157074
70587.6,39324.2,77.9393,10.2976,181.216,0.159458
37344.6,22840.4,40.7925,8.11921,109.467,0.162697
52507.4,28668.2,37.9448,11.816,181.216,0.163962
56034.9,36033.1,57.1031,1.45217,186.44,0.165566
