	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
22	70092350.0	0.0	4294902800.0	82019.0	156385.0	157156.0	262122.0	262143.0	154516.0	54460.0	76749.0	107220.0	127.0	162.0	89468.0	60.0	72.0	83724.0	149.0	198.0	104928.0	140185.0
23	70108330.0	0.0	4294902800.0	80310.0	127990.0	119412.0	262122.0	262143.0	136516.0	44758.0	58068.0	98856.0	92.0	108.0	79444.0	41.0	38.0	63908.0	134.0	169.0	106620.0	140217.0
45	132948580.0	0.0	4294901800.0	75496.0	134761.0	120112.0	262122.0	262143.0	116532.0	44653.0	84519.0	163968.0	2.0	2.0	6100.0	18.0	31.0	22228.0	1.0	1.0	5356.0	265897.0
49	133385440.0	0.0	4294902800.0	68326.0	129665.0	144808.0	262122.0	262143.0	123400.0	39420.0	50217.0	94052.0	1173.0	1761.0	113032.0	62.0	80.0	74360.0	96.0	125.0	98896.0	266771.0
50	135520140.0	0.0	4294902800.0	69702.0	100006.0	109012.0	241125.0	262143.0	114376.0	15718.0	21593.0	103784.0	110.0	132.0	90304.0	24.0	28.0	46108.0	186.0	259.0	104628.0	271040.0
69	191146290.0	0.0	4294902500.0	86893.0	157139.0	142012.0	262122.0	262143.0	153380.0	44832.0	62704.0	106924.0	98.0	121.0	85040.0	60.0	71.0	78400.0	166.0	235.0	101660.0	382293.0
71	195562910.0	0.0	4294902500.0	87232.0	147101.0	124112.0	262122.0	262143.0	137956.0	33982.0	43575.0	97928.0	74.0	78.0	72168.0	36.0	40.0	81852.0	44.0	67.0	94352.0	391126.0
91	263295280.0	0.0	4294902500.0	84461.0	115345.0	102952.0	262122.0	262143.0	122552.0	21044.0	26384.0	95268.0	39.0	46.0	80088.0	19.0	27.0	16604.0	40.0	49.0	58588.0	526591.0
92	263327340.0	0.0	4294902500.0	74257.0	106367.0	111028.0	262122.0	262143.0	128672.0	23090.0	27212.0	87880.0	79.0	79.0	75528.0	10.0	11.0	28356.0	69.0	65.0	48904.0	526655.0
93	263333970.0	0.0	4294902500.0	65368.0	114303.0	141052.0	262122.0	262143.0	131796.0	37550.0	51733.0	104688.0	58.0	67.0	74548.0	28.0	30.0	55648.0	97.0	145.0	90692.0	526668.0
