	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
0	2196511.0	0.0	4294901800.0	66523.0	119920.0	141224.0	262122.0	262143.0	153956.0	33560.0	44672.0	99468.0	59.0	64.0	79688.0	22.0	14.0	28444.0	37.0	27.0	23780.0	4393.0
5	6646387.0	0.0	4294901800.0	70439.0	114888.0	126628.0	262122.0	262143.0	127240.0	37129.0	48014.0	98780.0	44.0	51.0	85336.0	24.0	13.0	24492.0	12.0	9.0	28420.0	13293.0
6	7635272.0	0.0	4294901800.0	81879.0	116549.0	103920.0	262122.0	262143.0	122628.0	37041.0	48433.0	99804.0	46.0	46.0	76912.0	20.0	20.0	36024.0	33.0	24.0	27880.0	15271.0
8	9475421.0	0.0	4294901800.0	79316.0	120601.0	118188.0	262122.0	262143.0	135944.0	29605.0	38170.0	97136.0	46.0	49.0	34612.0	23.0	22.0	45152.0	16.0	16.0	30836.0	18951.0
13	12815141.0	0.0	4294901800.0	92403.0	151698.0	122648.0	262122.0	262143.0	148244.0	47711.0	63093.0	100900.0	45.0	52.0	73100.0	22.0	21.0	32952.0	18.0	8.0	19508.0	25630.0
38	59797020.0	0.0	4294902800.0	65849.0	102520.0	115424.0	237455.0	262143.0	126988.0	27361.0	39320.0	110312.0	24.0	30.0	87664.0	19.0	10.0	15896.0	18.0	15.0	33664.0	119594.0
40	59816224.0	0.0	4294902800.0	72008.0	154753.0	175592.0	262122.0	262143.0	167660.0	60666.0	88182.0	110768.0	88.0	87.0	61800.0	38.0	39.0	66356.0	25.0	16.0	21148.0	119632.0
41	59870910.0	0.0	4294902800.0	92382.0	167901.0	145684.0	262122.0	262143.0	162924.0	51203.0	70571.0	105828.0	73.0	86.0	76360.0	29.0	20.0	41464.0	15.0	8.0	21768.0	119742.0
42	59878870.0	0.0	4294902800.0	61739.0	114193.0	150880.0	262122.0	262143.0	135928.0	37329.0	52006.0	102976.0	40.0	42.0	72664.0	11.0	16.0	29436.0	19.0	6.0	13104.0	119758.0
43	59892012.0	0.0	4294902800.0	85138.0	146448.0	133680.0	262122.0	262143.0	149148.0	44805.0	60575.0	103004.0	66.0	74.0	80048.0	38.0	36.0	62368.0	27.0	20.0	41748.0	119784.0
44	59911440.0	0.0	4294902800.0	78671.0	151284.0	153124.0	262122.0	262143.0	162004.0	68181.0	95727.0	106776.0	55.0	68.0	85248.0	31.0	39.0	53312.0	16.0	14.0	29200.0	119823.0
45	59924720.0	0.0	4294902800.0	82517.0	154806.0	152104.0	262122.0	262143.0	159780.0	50847.0	71079.0	106172.0	77.0	94.0	82232.0	28.0	35.0	55836.0	82.0	82.0	61732.0	119849.0
50	59953110.0	0.0	4294902800.0	63114.0	111729.0	137524.0	262122.0	262143.0	133320.0	38026.0	49848.0	99612.0	57.0	59.0	60724.0	14.0	15.0	47824.0	2.0	2.0	8300.0	119906.0
51	59955892.0	0.0	4294902800.0	62163.0	158501.0	202824.0	262122.0	262143.0	198180.0	55341.0	102008.0	144580.0	55.0	106.0	144000.0	37.0	53.0	31116.0	11.0	5.0	13036.0	119912.0
52	59971230.0	0.0	4294902800.0	67475.0	103537.0	118112.0	257035.0	262143.0	134832.0	31966.0	39487.0	93952.0	34.0	37.0	66212.0	7.0	3.0	8380.0	6.0	3.0	11264.0	119942.0
53	59971748.0	0.0	4294902800.0	61774.0	115505.0	151012.0	262122.0	262143.0	126276.0	46981.0	63908.0	104220.0	68.0	74.0	77800.0	31.0	38.0	80396.0	52.0	64.0	60240.0	119943.0
59	59991744.0	0.0	4294902800.0	67686.0	128703.0	147604.0	262122.0	262143.0	156088.0	44718.0	71521.0	123444.0	89.0	109.0	86724.0	39.0	65.0	105152.0	23.0	25.0	36352.0	119983.0
64	60001316.0	0.0	4294902800.0	58801.0	98563.0	132140.0	262122.0	262143.0	115960.0	43563.0	58784.0	103752.0	40.0	37.0	47196.0	16.0	13.0	30384.0	26.0	22.0	25968.0	120003.0
67	60010296.0	0.0	4294902800.0	67257.0	125214.0	146856.0	262122.0	262143.0	144336.0	48393.0	63408.0	99784.0	48.0	58.0	74376.0	21.0	15.0	42336.0	13.0	11.0	18472.0	120021.0
69	60018190.0	0.0	4294902800.0	55122.0	120023.0	170944.0	262122.0	262143.0	166660.0	54767.0	77277.0	106636.0	62.0	76.0	82508.0	20.0	13.0	26488.0	35.0	21.0	35892.0	120036.0
72	60020484.0	0.0	4294902800.0	46423.0	114005.0	204188.0	262122.0	262143.0	184220.0	37354.0	76363.0	166880.0	61.0	75.0	70392.0	25.0	41.0	40244.0	31.0	25.0	47732.0	120041.0
87	60040470.0	0.0	4294902800.0	58425.0	105437.0	142988.0	262122.0	262143.0	144544.0	44623.0	59286.0	101064.0	31.0	34.0	30480.0	26.0	14.0	36892.0	16.0	17.0	14400.0	120081.0
88	60041596.0	0.0	4294902800.0	59278.0	95370.0	122576.0	252682.0	262143.0	121552.0	37805.0	49397.0	99724.0	41.0	39.0	58156.0	20.0	21.0	58012.0	12.0	8.0	24564.0	120083.0
90	60049184.0	0.0	4294902800.0	70786.0	128484.0	140484.0	262122.0	262143.0	150432.0	54511.0	73510.0	102532.0	73.0	81.0	79968.0	33.0	36.0	44576.0	22.0	24.0	38440.0	120098.0
93	60054724.0	0.0	4294902800.0	51330.0	92250.0	142572.0	262122.0	262143.0	139912.0	36350.0	51121.0	107304.0	66.0	84.0	87224.0	26.0	33.0	67540.0	13.0	16.0	36692.0	120109.0
96	60063492.0	0.0	4294902800.0	72585.0	120913.0	128760.0	262122.0	262143.0	136604.0	40385.0	51995.0	98180.0	51.0	57.0	62628.0	28.0	22.0	26356.0	17.0	9.0	12076.0	120127.0
98	60065720.0	0.0	4294902800.0	100046.0	152822.0	117484.0	262122.0	262143.0	148264.0	68056.0	88673.0	99420.0	109.0	128.0	90964.0	46.0	41.0	58372.0	66.0	72.0	91048.0	120131.0
103	60076130.0	0.0	4294902800.0	60043.0	105988.0	133872.0	262122.0	262143.0	147092.0	43576.0	62349.0	109368.0	48.0	56.0	59396.0	21.0	21.0	45600.0	10.0	4.0	19096.0	120152.0
