	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
0	13536.0	0.0	4294901800.0	77842.0	137327.0	141288.0	262122.0	262143.0	139636.0	30527.0	38914.0	96944.0	23.0	20.0	22248.0	28.0	43.0	93356.0	31.0	10.0	15748.0	27.0
1	37548.0	0.0	4294901800.0	62065.0	102851.0	128028.0	244687.0	262143.0	127716.0	28299.0	35265.0	94408.0	23.0	16.0	27388.0	50.0	44.0	53224.0	20.0	28.0	24372.0	75.0
2	108716.0	0.0	4294901800.0	68938.0	109249.0	122500.0	262122.0	262143.0	114108.0	20749.0	25563.0	94148.0	24.0	28.0	45272.0	27.0	32.0	60708.0	31.0	15.0	22728.0	217.0
4	529239.0	0.0	4294901800.0	68218.0	109473.0	126856.0	262122.0	262143.0	121508.0	23324.0	29288.0	95492.0	9.0	4.0	14804.0	7.0	3.0	8944.0	1.0	2.0	10112.0	1058.0
5	598929.0	0.0	4294901800.0	77442.0	122670.0	116040.0	262122.0	262143.0	130400.0	25851.0	32568.0	96528.0	11.0	9.0	30896.0	15.0	5.0	13408.0	13.0	6.0	19176.0	1198.0
7	1074843.0	0.0	4294901800.0	65825.0	106187.0	124604.0	206184.0	262143.0	125400.0	19435.0	24181.0	94372.0	13.0	10.0	19360.0	36.0	32.0	46308.0	20.0	23.0	29708.0	2150.0
16	8421213.0	0.0	4294901800.0	76587.0	132877.0	143764.0	262122.0	262143.0	125452.0	30169.0	39732.0	100944.0	23.0	21.0	49824.0	49.0	64.0	96140.0	20.0	19.0	15816.0	16842.0
18	9995982.0	0.0	4294901800.0	72866.0	122531.0	132808.0	262122.0	262143.0	126852.0	29514.0	35806.0	92188.0	15.0	12.0	27076.0	32.0	28.0	41388.0	1.0	1.0	4208.0	19992.0
55	64022964.0	0.0	4294902800.0	82491.0	124173.0	111468.0	262122.0	262143.0	127800.0	46550.0	61022.0	99696.0	38.0	43.0	66876.0	47.0	56.0	76672.0	28.0	33.0	60104.0	128046.0
57	64042304.0	0.0	4294902800.0	75741.0	142100.0	149044.0	262122.0	262143.0	161596.0	51897.0	72325.0	106416.0	42.0	45.0	71168.0	89.0	123.0	94600.0	42.0	52.0	71848.0	128085.0
