"FSC-A","SSC-A","Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
96715.585938,48811.480469,43.834137,4985.573242,244.132828,382.979279,0.001530
94991.632812,61499.851562,49.868458,3845.933594,296.293915,241.741684,0.004180
55288.488281,27659.187500,-81.272636,3154.439209,163.128876,278.286713,0.007026
87599.476562,59003.769531,89.890198,3852.187500,256.735016,298.404602,0.009176
85751.695312,34986.480469,3.016409,2900.463867,121.144463,154.353027,0.009294
70725.148438,45339.636719,56.825527,4503.001953,260.841644,351.985138,0.009401
69071.515625,29518.525391,70.722389,2525.178467,125.071251,171.705627,0.010206
68480.382812,47190.816406,64.650215,3379.088379,239.284012,482.348297,0.010403
78633.929688,35191.355469,118.179115,2965.065674,235.495224,369.333008,0.013055
62704.753906,45091.855469,-8.790333,4088.858398,173.883408,312.863434,0.013656
72105.375000,37052.597656,24.184259,3847.512207,142.981628,299.390808,0.016616
52477.847656,46979.531250,11.993471,3074.779541,165.281265,179.493286,0.018041
63083.847656,30398.033203,58.506115,2862.820068,199.953064,206.970612,0.018081
76170.718750,43841.421875,8.871425,2525.421387,177.374649,168.706360,0.018144
68036.179688,30854.431641,36.737865,3225.962646,123.108154,233.006760,0.018925
55002.757812,40923.953125,68.342079,3438.529053,134.809998,204.486832,0.020341
59294.933594,48763.339844,22.161362,3150.310547,125.206612,312.418884,0.022798
79617.585938,50812.507812,65.542137,3851.215820,113.893814,262.634369,0.023734
75070.437500,51565.316406,66.792191,3905.131836,192.659256,223.047546,0.025672
66031.531250,28102.044922,-11.167903,606.196167,43.482750,166.917175,0.026652
75070.015625,46189.183594,84.949883,3953.825928,209.642502,317.034668,0.027112
113925.703125,62234.746094,279.492310,5059.645996,676.607422,815.834412,0.027992
83674.898438,41906.855469,14.350636,3434.582764,115.791969,272.765717,0.028344
66641.117188,44078.359375,13.628829,3823.711670,191.989670,384.063995,0.030505
71773.492188,40970.539062,12.889776,4408.831543,216.115906,273.173889,0.030676
91850.585938,39584.996094,120.118500,4098.147949,222.049438,283.340881,0.033173
60957.488281,40905.406250,110.807541,3588.801270,269.906128,269.879059,0.033756
66237.226562,35334.621094,76.525414,3514.788574,151.479660,233.353577,0.034208
71971.507812,51934.085938,100.088135,3974.833496,219.516724,382.334625,0.034531
95263.015625,59573.609375,40.780952,3838.040283,167.029526,288.524872,0.035697
90348.687500,53346.964844,105.772545,3715.576416,215.648987,334.092834,0.036830
98616.828125,56914.988281,116.389366,3503.313232,152.018845,228.111145,0.037839
52145.906250,46685.238281,77.511757,2753.106445,60.327213,157.595856,0.038490
66494.242188,61722.742188,192.386581,6640.023438,150.670822,298.439880,0.038594
70333.570312,38028.269531,102.301781,3114.730713,112.808891,313.221771,0.039185
69493.156250,33611.730469,58.962360,3453.768799,235.029785,354.901459,0.040550
85180.937500,49927.886719,54.009808,4314.782227,165.684753,298.954803,0.041804
70818.773438,34108.503906,19.212645,2288.507324,78.061699,299.693726,0.045535
113178.273438,59066.140625,43.039516,5967.229004,355.764191,443.377319,0.048732
55665.390625,33110.972656,66.953201,3488.559326,192.592300,285.019257,0.049146
60868.484375,28280.728516,93.074402,2579.883545,104.733971,147.701370,0.049546
52892.898438,28801.169922,15.950038,2054.568604,151.007843,168.246445,0.050753
84585.523438,38812.210938,63.561653,3516.427979,182.138367,246.213242,0.052728
92904.609375,39125.828125,99.229523,3908.713867,253.354889,304.905640,0.052972
75077.156250,41737.046875,67.760544,3744.962891,120.196251,194.861710,0.053604
80805.523438,58224.035156,59.344646,6815.492188,343.042816,593.512146,0.055047
90381.648438,48355.894531,110.262352,4614.112305,210.109879,360.744202,0.055127
64975.187500,63975.914062,106.439964,3786.614014,205.568115,293.335632,0.056185
111437.937500,54853.285156,61.616344,5441.003418,310.692169,454.897919,0.057518
64474.378906,32433.863281,38.416683,4011.202393,98.620079,205.327606,0.057806
76983.773438,49119.019531,62.731113,4607.736816,221.649582,251.328079,0.059380
74544.125000,44422.476562,70.892479,3993.473389,165.348511,294.212616,0.063282
73628.164062,44509.710938,40.931034,3657.592529,148.311096,236.497437,0.063373
73055.992188,28062.285156,66.507584,3393.477783,230.706055,314.886169,0.066310
85029.726562,48876.031250,131.165970,3794.203613,171.062134,267.402100,0.068970
91522.062500,58244.835938,86.384743,5126.190918,244.265610,272.519867,0.069199
106658.671875,54132.269531,88.420280,3269.435303,173.614777,269.330994,0.069751
73834.945312,46626.300781,51.047428,4267.849121,224.780914,315.403534,0.071211
59088.222656,41521.890625,89.272469,2997.548828,78.061699,180.350998,0.074634
88098.460938,49299.167969,79.602577,5329.043457,207.572235,278.716248,0.077106
