"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
28.9758,630.067,-1.59125,52551
9.1543,90.2372,85.3334,412.702
251.636,30.0338,-73.6684,294.269
-46.7578,670.705,-62.5107,59942.3
38.0923,565.903,121.126,38080.4
4.22904,89.1695,175.002,418.413
61.1671,846.921,77.2086,34779.5
117.216,444.005,63.6869,31460
164.268,317.304,-25.5735,18923.7
71.5835,741.123,-12.5296,1124.4
20.9358,406.638,87.9981,375.46
32.6779,516.021,123.215,11752.7
223.302,513.871,20.1856,31756.8
69.5313,529.537,209.309,55873.3
36.7467,1133.29,70.5523,19404.1
61.7415,480.871,-15.9828,17565.1
95.1029,1024.67,134.143,465.795
106.785,666.764,-36.2539,27459
67.158,130.232,-10.1396,31929.9
-15.6639,426.419,-7.86251,9637.69
35.7898,90.3,92.7996,295.188
18.3746,690.055,-27.9017,8017.68
21.3878,36.8578,287.789,215.699
40.0406,503.399,337.467,64165.3
9.638,90.1116,1086.86,206.837
33.134,647.8,69.2645,20796.1
48.488,749.405,-41.7796,296.349
55.973,631.089,17.6362,34595.9
-4.47621,706.738,52.8786,19451.1
94.7095,1016.69,91.8092,15883.5
119.987,499.729,67.6582,320.284
54.9203,704.097,102.813,15304.4
29.8217,508.754,150.716,41612.5
11.6326,749.285,314.157,18689.5
25.9106,248.942,28.8586,55231.2
65.4377,64.5396,58.7478,236.234
672.769,982.484,92.424,27694
423.249,35.5185,53.846,241.701
-39.2131,28.3119,-74.5748,176.709
26.1614,679.973,-27.2191,25508.8
52.7199,126.488,139.277,647.873
125.397,116.43,-38.3776,271.144
172.334,38.4523,-79.8386,228.834
380.666,53.5046,68.1645,337.046
77.5046,792.132,206.354,19832.9
85.8529,821.957,134.254,352.686
8242.67,619.726,60.1172,27591.1
31.6384,614.319,87.4046,38853.8
14.2188,634.833,233.795,4426.64
44.5769,729.001,-88.0723,274.419
47.5961,63.3277,13.5422,212.847
283.877,513.406,-23.3245,17011.5
3543.5,796.633,112.628,17969
203.672,285.232,112.116,14437.5
53.8383,832.819,19.7104,23899.2
48792.9,529.19,135.978,6401.51
24.9389,1445.58,271.578,15229.1
155.473,556.692,181.688,96939.2
-10.538,164.871,121.436,100868
31.2272,88.4785,138.291,406.543
40.5603,76.908,-21.5471,203.346
90.6805,90.9908,27.1473,306.379
87.6639,716.399,49.3919,47002.3
55.598,396.244,-20.6196,63347.2
84.6672,1067.28,-29.5335,10832.8
114.219,112.302,-109.837,283.634
25.4325,739.743,227.44,40223.1
31.2494,702.957,93.0174,16110.5
18.1411,95.071,59.754,314.766
73.7126,402.424,157.493,28809.3
38.5732,436.105,112.806,24378.2
76.3952,86.2164,104.867,410.102
271.543,92.9999,6.11384,366.297
281.857,77.5374,15.7087,283.78
-30.9715,933.696,-0.0377634,6806.28
21.1894,58.735,-74.438,152.544
-79.0164,584.387,49.8711,76666.6
