"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
22.8299,73.256,-18.8092,79.8107
19.293,93.3137,-27.3137,77.2448
37.3944,27.993,6.64588,68.2121
35.6618,78.796,34.1234,59.8705
52.6413,64.5396,27.6023,108.777
35.984,208.17,5.4071,103.192
31.7345,114.679,-15.0427,131.073
13.6938,104.476,-59.6822,84.7806
29.061,47.7642,-14.2413,50.8039
48.1165,47.7642,33.9322,118.505
51.2944,58.9902,-6.26495,45.4017
10.612,48.8485,21.2394,68.1924
43.3127,71.1142,105.08,116.641
39.4385,75.2712,6.72302,60.1892
15.9108,71.365,-45.2321,69.6742
7.62899,50.7619,61.4892,89.3168
11.4048,54.0149,-2.38982,65.2872
24.3899,59.8832,-124.998,70.7886
21.6657,101.029,40.9141,117.877
40.3136,63.1363,45.4018,78.5977
1.54618,43.4908,0.781045,114.154
12.7087,134.846,-32.1488,66.4518
28.4375,99.9009,-129.707,89.6475
41.9848,95.6358,241.475,105.934
32.005,59.3729,-47.8179,76.6729
31.0797,193.877,97.2562,142.967
10.1886,58.9902,-27.5226,96.9854
9.71807,65.4327,-126.492,51.9058
62.2151,149.411,91.6185,143.761
10.0863,105.541,124.641,114.433
30.717,51.4636,-34.3764,67.6375
34.8841,81.8785,99.0088,91.5078
33.2843,67.1549,-51.1134,44.0781
123.436,100.779,-40.3716,67.6788
29.7323,125.489,38.7015,146.619
16.9062,98.7095,54.7352,111.198
15.3031,123.179,-43.4783,100.687
12.945,152.333,87.3417,101.044
4.76493,115.055,48.9144,78.9828
-3.86903,83.5135,34.9896,114.938
43.8053,9.2452,-2.05389,49.7342
38.9939,38.9625,-42.6238,48.7324
175.029,38.4523,-12.0261,46.8827
36.164,114.679,-50.3944,83.1928
98.9151,116.931,45.3163,185.402
50.149,106.293,-48.121,99.6282
25.3335,72.6892,-63.4053,75.4768
27.848,121.68,88.6674,112.546
9.41424,70.9823,-77.4196,43.0717
32.4705,84.1422,71.4143,116.242
13.8025,72.5632,-113.872,78.7832
101.728,69.5151,-68.796,93.5567
6.39258,31.6282,-41.6982,68.4981
-5.15222,145.68,-59.3893,91.4478
39.4701,90.0488,-76.8419,117.549
58.2163,71.9332,49.9053,104.123
31.8404,27.2278,-67.4651,58.4474
54.099,132.726,-36.8401,86.8131
29.0043,107.796,-38.9012,87.5334
53.4796,142.942,-69.6685,106.939
15.2684,35.5185,-7.85747,61.9463
32.9344,99.3366,58.3283,149.901
66.4034,138.148,409.911,110.92
35.7499,65.3689,-121.121,43.9918
9.84749,56.3112,-48.4532,49.6958
40.5555,54.7803,-65.3921,76.0607
36.1159,109.549,44.8689,76.368
41.975,143.067,32.5821,107.02
37.3675,54.7803,20.7246,65.1055
53.4136,154.693,-2.90333,120.364
38.4894,133.661,78.6237,123.042
48.7913,112.365,23.5482,92.2268
52.4098,87.2219,-2.87441,97.9813
13.2449,60.0107,-112.12,49.4649
32.7049,120.118,75.8327,114.546
93.8685,212.353,104.592,167.179
23.5845,106.794,63.134,129.845
9.20583,89.1066,-39.0814,96.6524
13.4761,101.656,81.4373,90.705
23.7821,61.9243,9.24996,16.6036
27.5871,64.3483,-62.4281,56.3371
17.5963,47.8917,-68.8597,77.1203
6.76225,94.1297,-26.3164,70.0144
23.3442,78.4184,-0.200955,71.3482
36.4369,99.3993,-79.0656,101.559
30.6876,149.971,-3.29642,131.756
24.2534,106.856,33.1709,122.464
21.4244,104.163,34.4729,83.841
30.3195,80.4318,68.4251,99.6311
25.1744,117.243,59.166,111.412
23.8436,51.3998,31.8763,82.8021
32.984,71.1142,115.426,89.6157
16.789,72.6262,11.1822,105.974
5.0465,58.6712,-15.0244,23.3607
28.5088,175.278,181.679,124.33
35.3839,93.6276,-37.611,90.7558
41.8409,86.2164,66.0625,115.838
20.4693,128.61,13.5607,98.6807
33.852,179.918,92.9328,133.154
26.2283,106.731,-2.33017,79.5143
44.0692,174.411,48.595,87.3599
25.8497,85.4622,21.5201,48.5483
25.4762,69.6427,98.9703,77.8834
33.5937,105.416,121.382,107.078
55.7157,121.68,144.093,156.749
23.0269,80.3689,-48.3546,82.2628
1.25987,81.1866,-64.2694,24.2845
19.4182,136.03,38.6832,142.441
15.064,53.8873,33.562,78.5699
36.4047,117.556,3.09787,135.569
28.7329,94.7573,19.7727,117.692
20.8361,186.346,130.951,124.858
42.1588,120.93,52.9192,165.726
53.6957,135.78,-15.7178,82.9338
34.8609,116.68,58.071,75.8244
