"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
24.9841,863.604,89.875,12743.7
38.7314,125.427,20.1026,449.16
105.201,418.196,-121.633,109637
-7.33632,646.047,4931.94,17015.1
94.2436,953.439,170.757,27890.1
33.7771,98.9603,-26.4637,171.901
18.5337,79.2365,-98.688,155.527
20.7496,871.765,-53.9673,420.488
19.0061,1740.05,180.971,12839.4
7.03923,671.493,64.1465,22757.4
-1.49414,570.444,89.1182,37830.1
-23.8991,222.305,-17.9188,52694.2
18.1126,613.407,2.05918,127342
44.2425,258.952,136.111,2705.33
6.41299,64.8586,-0.665398,157.498
45.5655,718.2,178.418,43823.5
17.3376,510.15,-74.994,50028.8
-7.7497,800.233,-60.4222,282.707
61.3491,2367.87,176.558,8886.63
23.878,79.9914,14.8699,358.92
59.1616,1168.81,228.405,8188.08
24.6018,426.065,105.567,45331.1
26.0272,551.331,-95.1899,333.122
34.8815,675.593,34.124,12885.6
25.9619,70.0892,9.59733,273.426
26.2653,790.512,6296.09,3727.28
27.2468,585.246,18.2059,31471.4
45.1925,75.1452,-11.1793,321.66
8.5137,41.9601,-95.577,173.555
30.5975,1421.1,-44.2906,33224.7
59.7879,1134.91,158.224,56584.8
14.5031,319.355,51.5305,548.598
36.3952,662.594,-28.399,714.831
41.6595,58.0334,-157.264,312.501
33.904,553.292,12.7824,151.714
37.8842,849.081,53.5677,7294.62
52.1175,353.924,-61.8535,55879.7
24.0415,509.801,63.5866,39585.4
37.5266,42.9806,137.672,266.535
69.5893,949.478,180.371,29182.2
-26.2167,412.865,-47.8636,80157
-2.9003,108.86,25.7425,207.726
17.1024,739.863,88.8744,21750.1
-1.36159,493.49,22.1107,546.756
3.02397,53.7598,50.0145,4647.94
21.7163,102.283,-101.362,270.481
31.9095,316.7,-0.25245,50801.3
33.2688,684.294,-68.8561,40557.9
23.3345,177.815,54.079,51978.9
52.5655,755.226,237.79,378.939
70.1387,535.327,-41.1107,13795
19.9543,620.749,17.1084,34248.1
9.08934,48.5933,-131.654,127.85
75.1941,625.07,60.5458,38970.1
37.6134,1059.84,159.604,15456.3
32.0446,717.84,3982.56,33319.8
41.6792,93.5648,91.2145,377.263
29.0083,137.4,89.501,245.324
38.0621,822.857,-0.301013,18925.4
47.2466,60.2659,-55.5113,300.372
-35.1461,652.831,48.2346,69226.7
24.2296,70.0254,-67.4855,502.42
-9.68313,641.293,-28.6744,14805.2
-35.6648,1002.77,30.9915,59667.7
32.8281,76.2155,-20.9693,295.603
32.5016,976.543,125.112,15524.7
24.7948,1187.54,26.6148,39996.3
28.2773,92.3721,-40.3384,363.056
11.4049,471.035,-100.795,32854.6
60.6089,955.659,157.431,144364
31.9774,629.727,96.0658,24995.5
15.1389,854.122,177.866,2796.66
-14.0655,707.638,63.7474,91067.2
79.395,662.763,120.202,67414.5
20.2665,847.941,16.0469,67484.8
35.03,150.344,173.566,550.029
8.69718,34.243,13.3633,226.185
22.6462,37.1767,-141.231,191.496
8.63121,525.538,46.5333,35363.9
36.8123,524.205,7.089,115873
38.1819,567.225,-51.8794,8196.8
-5.30212,413.102,72.6033,79980.6
0.100571,1287.99,66.396,44607.2
34.3969,626.774,20.6618,77092.8
25.3075,2767.48,148.687,128587
12.7621,82.9476,-96.4765,285.663
17.5963,95.6358,-139.196,381.39
31.247,107.984,78.2542,288.698
1.16731,492.848,-146.582,42340.6
1.48406,255.17,-51.4707,388.765
56.7116,119.868,39.9442,240.88
40.1213,742.264,0.0148167,121238
53.0113,1200.26,3318.1,47507
5.65259,596.748,22.6833,62373.9
40.0403,591.143,150.15,35112.6
48.1423,740.103,-26.0065,24232.4
-2.56026,794.712,123.801,22223.7
37.5571,154.507,137.659,330.096
63.6383,669.692,-6.07726,76873
-5.64092,879.086,61.8741,41216.2
107.121,623.08,64.7391,175055
-18.6213,469.921,8.39656,10931.6
-2.09952,49.6138,2.95536,204.647
-3.28012,671.831,-58.8682,486.138
39.549,58.3523,-92.6528,285.278
10.7571,530.696,24.2529,37562.9
-38.8296,224.576,-78.6956,16539.3
-18.6948,188.631,-74.1627,29932.1
15.3352,468.279,47.6408,52791
24.8434,60.9038,-123.013,233.393
40.0728,555.828,-8.49025,29417.8
