"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
13.7549,141.448,61.0659,102.329
30.3772,129.296,31.9177,129.73
60.4995,147.981,340.254,244.24
22.3544,119.556,128.543,59.6184
50.2086,144.871,78.8442,159.951
61.0308,108.798,155.644,101.047
75.7191,57.5231,7.70061,107.734
10.4891,41.705,-120.923,45.3422
17.7146,81.3124,-81.4212,82.2318
4.1703,95.7613,-95.4128,90.2938
40.9343,72.4372,-85.7398,52.2396
30.7385,171.625,245.816,193.047
31.6533,89.7348,21.6698,73.1542
44.1461,58.4161,-104.784,66.6459
32.5287,152.706,128.934,158.46
15.6184,82.193,25.1897,35.2279
37.1478,94.569,51.8094,101.689
30.8027,124.74,178.625,125.059
4.31746,34.4343,-83.683,43.5216
38.1439,66.6446,-43.0655,112.745
13.9727,53.696,-140.258,65.9596
23.9197,97.706,52.0682,104.77
25.4329,44.1286,-36.2004,58.3542
31.7391,38.8349,-40.3099,69.7015
-7.0323,62.0519,116.089,88.4664
22.724,55.8009,-32.6729,55.0594
14.6682,87.2219,46.6578,92.1255
9.6657,68.4307,-120.214,45.5551
33.7833,170.696,215.862,116.437
30.3832,72.0592,-21.3198,104.725
42.8682,137.463,142.01,129.507
25.0459,90.0488,-28.2246,70.9221
33.3668,138.771,8.21489,89.6811
37.2994,102.722,107.776,133.535
36.0422,64.0293,7.40613,60.213
14.4949,94.6318,-22.397,68.7866
12.9365,49.1036,63.7637,120.241
41.7355,50.6344,34.0701,78.8604
13.0583,94.8828,-15.6741,58.0266
45.8419,119.868,-13.6491,85.1685
52.0593,112.615,82.8168,112.58
25.0032,28.9496,-43.6794,45.2406
17.8114,53.5684,5.88626,59.305
75.0674,64.731,104.491,108.213
30.1589,46.8712,66.6609,87.0488
6.58943,75.7119,55.3725,107.471
29.702,42.6617,122.373,107.377
31.2025,109.111,-1.89403,80.6382
14.7426,78.6701,5.48142,138.625
33.2327,96.8905,-99.4825,49.8082
15.0013,91.6187,-9.96069,79.4566
18.2016,73.0671,42.5957,101.143
22.2793,71.0461,-18.9811,74.0483
5.37365,78.796,25.2058,53.9382
24.8609,89.1066,289.044,146.249
1.00327,51.3998,-41.5318,52.7952
21.787,97.3924,-43.9359,110.486
-22.1828,109.424,-76.3325,59.654
12.821,56.6939,32.51,78.3129
32.2719,77.0968,1.05128,126.131
29.9263,111.426,50.2309,118.971
40.8977,47.7642,93.3148,62.3882
47.191,116.243,56.7879,105.694
11.6079,57.6507,20.883,36.6366
44.6681,123.803,87.5748,130.374
21.0501,108.297,126.923,107.166
26.2888,67.8566,46.9875,84.9648
42.2522,92.2466,64.2443,88.3937
15.7067,77.2856,38.1539,74.0943
20.3712,67.729,-49.8716,79.1463
35.4289,31.3093,-33.6878,18.7997
72.8555,114.617,183.833,174.112
35.506,48.1469,-84.4843,46.7548
-4.92897,18.1724,-148.722,83.8211
17.2247,103.912,-75.5459,69.7341
54.733,105.103,7.00466,107.677
25.9754,76.1526,-9.81465,46.7525
25.3397,155.19,113.618,172.161
3.96254,150.033,-22.7484,95.1252
53.8222,120.868,90.5363,148.002
20.1106,74.9563,-10.031,59.427
5.12088,43.7459,-10.3672,45.5179
53.5444,115.743,-27.2462,136.26
24.7086,79.0477,11.9576,35.3714
20.7497,92.4977,-82.5827,55.3494
13.7916,99.9009,-2.53056,86.0739
14.7196,75.0193,80.4381,98.585
21.5223,63.3914,31.5794,66.8733
-11.0361,64.0293,-94.1108,35.1384
-0.220428,31.0542,-71.6424,30.576
43.088,110.112,43.6156,129.438
22.7287,133.599,193.374,157.99
15.7758,99.7128,157.038,102.926
4.87357,61.5416,-17.1112,72.9964
20.3227,94.9455,-45.9046,54.1097
33.5531,113.554,23.1901,75.0741
42.7391,84.4565,-82.2314,101.243
26.4322,72.6892,72.8425,99.4544
53.237,132.975,157.263,158.247
31.8479,111.176,146.758,112.382
13.8398,85.5251,76.914,44.2142
45.7344,82.5703,44.6985,91.0236
15.1563,98.0823,99.7301,56.1479
7.83547,76.4044,-76.518,96.7979
0.27461,64.4758,1.91381,54.6643
55.4614,153.016,127.474,142.391
29.1728,106.293,52.1725,129.671
-6.09197,51.5911,-55.0287,46.977
57.663,79.4252,-2.61973,68.2083
45.838,96.7651,36.0037,61.249
60.7343,103.035,33.9071,37.8113
40.8144,222.919,149.324,205.55
6.48424,63.9655,64.5214,82.6511
32.7778,51.6549,-5.52415,88.1878
37.1071,74.3267,2.16694,136.645
58.3571,113.866,51.0981,118.907
53.7639,79.6769,-30.0665,69.2712
54.8818,87.5989,34.2311,133.75
46.5229,104.977,110.934,119.058
29.9279,73.382,58.6378,82.2826
41.7873,93.6276,27.7704,97.444
21.0145,73.6969,-91.2902,74.6095
45.8767,113.428,16.8807,93.4716
23.4346,57.5231,26.1546,91.724
35.7874,48.4658,-65.5926,51.9994
30.7852,71.8702,25.0881,96.5693
14.8006,81.3124,47.9932,113.926
8.75084,46.1696,-55.0588,43.7667
21.0211,127.05,23.7198,55.6236
27.6124,82.0672,47.8103,41.3566
3.9603,73.8858,-15.7832,46.6995
7.76922,71.3012,7.25572,73.7356
15.5313,138.335,58.9794,99.6666
28.9379,86.2164,-56.5409,88.8273
21.2018,104.476,52.0995,102.48
62.8538,134.659,62.2785,144.903
56.6866,80.1802,-6.05182,54.9597
36.0317,155.749,-17.2854,97.8921
20.562,86.9077,22.7979,76.2007
40.9249,68.8134,158.545,114.15
19.9307,131.791,15.218,115.924
24.4358,142.818,220.841,156.968
12.0352,86.4678,-36.3853,62.176
35.5442,77.7891,-14.0896,115.543
62.0546,66.836,-22.742,89.4803
36.3603,124.865,57.8221,134.42
33.276,94.1297,89.9527,69.3456
37.9771,101.531,44.8603,149.529
27.5929,28.2481,-49.5023,31.3477
34.4282,89.6091,16.3598,105.647
48.3237,68.3031,17.6376,83.312
40.0785,62.9449,30.4097,80.3716
-13.56,76.5303,-56.5396,75.0586
48.6565,98.4586,75.776,113.282
32.4018,121.992,96.5025,111.7
35.468,176.268,161.917,124.011
22.8683,80.9979,-60.7661,51.1924
19.8771,72.6262,-0.677847,79.2861
6.92099,86.7192,9.66799,94.9685
15.3102,88.0387,33.0025,105.985
23.153,69.1324,-100.6,80.4219
19.806,75.7119,69.0611,148.038
34.6194,138.21,68.9669,169.61
8.51802,63.3277,19.1712,142.652
19.7495,91.4303,-6.08525,56.9442
16.0561,73.5709,43.141,47.4433
19.085,84.3308,-73.0539,69.9282
2.93109,33.1588,-74.5851,51.5391
15.952,81.3124,14.9082,77.2682
15.5134,107.044,37.5058,107.748
42.5038,92.8116,93.0078,84.7832
20.1668,56.5663,-67.7836,71.4395
41.851,45.0216,81.877,90.3703
47.6987,75.7119,40.2538,55.3678
31.3869,63.7104,73.4142,35.8078
18.0054,71.1737,-160.85,43.8399
19.32,87.4104,-47.1114,49.9056
47.1425,105.04,56.2647,123.252
20.2725,103.599,-39.5692,90.113
26.4145,91.5559,-43.0849,89.2533
22.2055,72.5632,17.6269,51.8184
-1.61485,56.4387,45.81,70.6254
36.0036,112.49,155.36,88.8459
34.5362,108.672,37.9434,99.7375
37.66,81.1866,15.6071,56.9569
20.9231,78.7331,-24.7196,103.026
32.8727,74.8934,-16.9412,71.5577
42.9821,80.5576,148.355,122.943
13.8143,74.1377,-114.12,47.0448
26.6474,122.242,-68.7042,93.8103
24.4769,143.689,27.1466,97.6331
62.9219,124.116,168.669,89.27
41.4296,92.8743,247.392,76.3307
14.1041,79.1735,-63.6983,81.7801
-9.0043,73.8229,-55.3232,32.7083
10.6395,102.91,-68.8923,34.7106
42.7394,101.594,109.525,113.391
49.8852,132.227,42.8388,177.63
72.8552,110.926,133.508,156.157
34.0225,94.0669,-84.1844,77.6872
2.37034,42.4703,-65.2396,46.9178
36.1437,103.85,50.0857,115.878
27.93,130.294,178.793,133.871
57.3229,147.733,83.5668,160.776
26.0767,113.866,36.2583,72.0195
23.5387,78.0409,-50.0759,92.3355
43.9043,160.157,-1.41176,117.857
34.6384,153.327,37.8811,124.896
4.98251,48.8485,-24.8902,30.4705
78.7986,96.3887,165.945,131.081
8.15943,56.056,34.6781,30.3793
10.0231,40.8759,-3.78071,60.6022
40.5788,76.2155,97.758,91.74
50.4663,86.5307,53.8855,113.066
26.4782,74.4526,18.8469,106.517
34.9779,50.7619,-101.719,81.0888
23.3303,102.032,68.5217,97.2333
9.57934,72.1222,43.3998,55.1514
26.2083,74.8304,-21.146,87.8253
62.2865,102.032,16.3581,93.7648
26.6211,97.4551,-97.8369,84.5539
6.20416,51.7825,5.64375,95.5175
45.8138,61.5416,39.7291,63.9417
34.092,93.7531,-27.993,112.57
59.1982,53.4409,76.3712,61.984
45.6037,140.203,161.906,123.804
51.7018,102.596,78.6823,127.957
56.9601,111.864,46.6557,140.22
6.98255,69.1324,-6.70678,69.8748
47.3308,110.988,192.658,144.945
14.5633,84.7708,85.5656,85.5237
36.4681,120.743,3.99504,98.0929
48.5694,147.422,217.385,116.875
18.6966,85.6508,39.1823,70.4832
11.0109,86.782,-0.302074,66.4636
27.9028,130.855,66.6143,112.546
1.53464,11.2219,-15.3447,-6.24613
58.8122,133.163,9.97247,104.865
50.3595,55.482,-50.6453,57.9726
29.558,48.976,-67.7342,68.6121
5.65315,75.1452,-12.0076,59.3901
34.3519,126.55,93.0264,114.128
3.04007,89.7976,54.1171,57.6825
22.9802,137.338,91.4496,123.963
8.21553,93.502,13.4087,36.3152
26.4715,82.7589,-60.3982,107.264
28.4354,140.328,-15.9798,47.2876
23.4459,26.2074,2.48816,47.8748
37.1623,116.493,72.6956,154.858
27.932,64.6034,0.128904,97.1331
7.95537,68.7497,-97.3079,34.7984
26.2364,98.3332,-65.5548,96.873
18.4739,113.866,18.3769,76.9747
0.765336,108.672,85.7881,140.074
8.82496,68.4945,-122.052,47.701
16.5245,92.686,-39.1554,68.4272
17.2245,67.6015,9.03057,57.5832
38.0678,97.3924,-26.2942,84.6781
30.9824,67.729,26.9951,44.2323
40.1237,106.919,-31.09,87.5237
19.9669,93.3137,85.6063,69.3006
8.82954,79.4881,46.0839,89.7848
-7.53761,80.7463,-23.1145,47.2632
-11.8182,37.1129,-104.97,76.2202
54.5171,112.052,71.8583,89.0566
5.70142,60.2659,-52.073,114.871
17.9744,60.84,-42.9094,108.138
62.1904,184.307,236.268,200.588
28.025,110.613,84.43,117.222
73.1755,145.867,-17.7904,162.549
21.8056,117.618,46.9232,102.34
20.8399,114.054,27.187,87.931
8.62249,37.4318,-9.64872,33.6893
12.455,36.3476,-90.4929,3.36325
4.36058,66.0705,15.309,56.9829
23.4984,93.1882,-14.0308,60.3008
33.6028,110.049,-13.9554,93.8976
6.02522,15.6854,-75.9222,54.555
21.6584,83.5763,2.74447,88.2656
27.4375,84.708,88.1092,91.2197
