"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
27.3994,704.337,2.56737,21904.6
-1.06842,519.563,10.8813,82058.4
273.847,1310.26,47.381,27666.5
24.6963,756.066,7.60679,90012.9
14.2472,425.237,1443.27,17158.9
68.8809,103.599,97.8533,357.823
139.285,860.243,156.541,136893
16.4875,1179.14,206.756,108952
-27.753,375.753,-91.8362,6582.56
63.3207,843.921,1.14916,40823.3
40.8983,548.157,92.6023,47405.4
116.057,611.243,601.028,31997.3
21.2201,736.083,77.6374,21222.6
29.2157,667.609,-42.2909,16958.9
10.2647,-5.16086,-127.456,167.63
7.32184,70.472,-33.4866,166.037
109.996,718.32,93.9288,140067
48.3513,562.393,55.2696,38988.5
67.3363,879.447,86.5758,70426.5
2.61129,267.726,-74.1181,29654.5
28.5639,97.8315,-30.3024,483.367
41.0222,716.039,65.576,6898.26
22.8997,435.928,-45.3934,339.812
79.9472,524.553,-35.2779,109574
29.2396,111.99,15.0221,444.8
0.355786,714.779,44.3196,173.411
35.405,50.3155,-2.16701,240.564
53.9617,577.966,66.012,31299.3
35.155,30.6078,-62.874,268.338
25.4867,647.8,3719.17,10968.7
95.0876,70.6633,-44.2396,288.449
15.7096,244.664,7.46754,244.156
9.77319,45.0853,-64.7335,313.512
59.4876,460.122,-86.7335,44937.4
5.05845,646.613,188.686,25339.9
31.9074,182.082,29.6314,4969.71
15.1842,173.173,1364.82,217.344
29.5373,50.7619,-57.4347,216.976
17.4839,55.6095,-76.3342,314.771
4.52607,8.54381,-62.0253,275.888
42.6679,98.9603,-17.2222,279.582
-2.95052,569.41,-60.5448,66680.2
6.95727,105.917,51.8191,224.799
63.8552,171.068,-142.377,39043.1
26.9899,773.169,-18.4924,10908.6
19.4842,716.339,-35.4565,378.522
89.0655,208.97,73.6567,64312.8
24.0818,234.384,119.29,7580.77
13.9172,155.252,-91.2844,35220.2
-29.7647,605.085,-54.4287,52038.1
8.18491,388.569,357.684,4914.47
-8.39582,943.957,-94.9242,36789
163.268,527.162,90.7409,129126
-7.83033,62.6898,-75.7395,492.091
15.8494,350.387,-136.526,13740.9
30.0814,741.544,1906.42,9977.07
22.8108,58.3523,-56.5001,325.355
39.1666,538.278,18.9036,35927.2
40.845,364.401,11091.5,6434.77
9.9193,586.392,39.0387,376.381
66.1709,480.52,33.275,32943.7
42.8703,601.717,-11.4961,41017.6
-18.1756,684.474,-125.964,318.76
349.807,837.74,94.6245,22738.3
-7.29013,368.825,759.253,33650.2
44.3591,684.714,-37.1551,456.873
3.10247,518.286,-84.5642,233.279
57.6866,345.167,106.189,17048.3
23.954,242.708,-68.902,399.161
5.04452,192.828,-81.533,273.043
23.9793,632.451,50.7303,33926
55.5604,458.889,44.1927,24329.8
64.5555,445.655,-72.6211,45608.4
0.977179,51.7187,-49.5772,262.556
24.4625,473.671,-80.7363,5155.2
50.4807,103.348,-95.3944,300.152
27.967,526.93,-42.4546,62431.7
2.33619,417.13,45.2923,81044.5
35.2449,720.66,-59.3475,13736.2
5.25626,714.839,-19.1842,8571.94
11.5849,676.073,2409.1,16748.2
14.0764,648.027,-26.966,9265.82
46.9096,61.2227,-12.3307,489.99
67.9297,449.069,29.0258,39599.1
34.4367,59.3729,28.6933,445.534
48.2187,566.88,-51.3013,87004.2
21.6442,802.154,15.1455,34890.1
18.0757,67.4739,55.0677,388.973
31.4343,125.739,2.88917,590.455
67.774,565.443,-66.8467,43779.4
-12.7468,421.807,-111.477,11242.4
25.1379,1178.42,6.08807,76627
-8.85995,766.628,150.393,60707.5
24.8378,464.584,-79.9209,294.869
28.742,98.2705,4.50475,214.047
79.4542,839.9,62.6863,29805.3
14.3625,44.0011,349.326,229.541
80.5484,563.544,79.2951,97579.2
40.7634,868.465,-43.7771,20600
9.43581,494.132,77.6408,19913.1
47.352,797.713,-14.6056,45192.3
31.3699,89.986,-130.65,293.309
67.4259,611.072,94.5415,91518.5
36.9698,136.092,96.6922,44134.6
14.4449,746.404,131.131,18752.6
20.5201,523.451,72.1997,79751.3
20.4436,701.697,-16.1537,30723.3
35.2294,664.961,-8.37249,18095.1
181.86,72.1852,39.3848,397.344
51.1144,476.95,-39.219,33186.3
-39.5935,371.693,24.1147,163171
26567.2,841.82,-138.737,2618.46
34.1871,577.851,101.701,5961.77
16.0393,622.967,-11.6425,4650.45
-1.64862,25.4421,-37.4428,1631.28
19.6694,31.8195,-65.9135,181.464
-31.0152,-40.3867,-111.277,136.243
16.8682,130.232,88.1605,358.838
34.5891,77.7262,-2.25245,2881.55
34.3467,64.4758,-22.4976,169.478
25.6246,675.112,92.377,16194.8
63.9576,421.925,-77.1156,2653.95
44.7127,102.534,25.8855,703.651
78.2428,197.207,-25.8064,3531.28
39.1102,236.283,38.7425,2087.02
86.7118,460.064,18.0127,134116
-5.42471,388.986,-67.7061,48689.6
-40.0713,922.354,-33.3345,15198.7
59.6348,156.557,120.524,850.973
43.1278,476.306,-36.6275,301.519
35.7006,326.286,7.63073,31325.3
-0.304808,508.405,-35.4124,362.41
9.31036,74.3267,-21.1059,255.411
27.3961,673.432,124.835,52912.4
18.0087,402.068,7.13934,79480.6
-36.2857,370.618,60.5483,48689.3
-7.05822,35.5823,-25.0022,377.669
7.12064,703.797,25.7527,5897.07
40.1643,38.3885,-142.953,186.483
7731.11,861.384,119.796,72428.6
56.5507,639.14,3.69783,27924.1
18.8672,94.6318,-115.737,154.986
68.0025,85.4622,-114.632,263.411
-17.6465,348.828,-122.499,67139.1
4.40952,70.5995,-33.6185,282.754
17.6793,872.785,26.9192,7472.93
56.7145,425.06,-123.098,23792.8
-26.6719,96.0122,-86.9142,146.137
66.0769,497.514,38.3062,65051.8
60.5094,152.768,116.085,585.625
143.094,485.49,-74.0845,120653
-1.8915,390.474,2147.86,2698.83
16.1678,634.492,-61.0966,35510
38.4982,667.384,-46.2518,548.115
41.7764,548.1,-126.911,83585.5
-47.4201,-3.6006,-121.454,258.259
63.9521,582.897,3.2493,65849.1
3.75287,531.912,26.9247,69880.9
36.8568,907.171,41.2987,450.519
16.0242,418.255,748.627,136.184
9387.79,667.158,-73.6081,50726.2
-16.7527,540.186,-81.7354,45673.2
4.6694,367.749,-30.4882,205.201
24.1655,525.596,-114.287,17525.9
79.1621,346.008,36.6321,8219.38
62.4927,839,15.9821,43471.3
16.7514,74.3267,62.4926,2550.55
5.48131,16.8332,-120.154,212.341
12.9381,138.584,-126.343,576.441
6.97557,490.104,39.7178,57063
23.4453,504.855,-162.84,49532
14.3764,516.079,-57.8684,20195.6
90.7916,662.03,57.9235,122141
-3.32207,555.309,-24.9099,203.052
63.2252,752.465,-17.6075,30139.4
41.4875,579.228,7.59698,100528
-7.08817,679.973,-11.2796,1809.74
38.9862,78.1038,-28.9425,280.862
40.7021,583.413,1.66923,52585.7
29.7126,494.132,100.127,471.364
114.326,533.128,73.2771,76383.4
54.0801,472.031,12.7002,125562
13.1162,366.494,-73.3736,60429
-5.8746,411.324,11.3222,12657.3
35.9559,477.126,-68.7149,270.646
46.4876,595.033,103.781,51839.2
61.3456,434.571,-76.566,74287.5
-8.91291,447.657,85.7941,15941.6
-12.209,435.574,136.171,68831.3
25.663,60.9038,-63.4062,191.006
27.9577,11.7957,-67.7627,185.563
43.8472,23.2101,-121.941,197.238
26.9196,713.099,-38.8209,30187
39.0785,603.43,-43.9139,11349.3
33.7174,331.584,27.3164,43422.8
2.2515,261.025,98.3585,6158.08
38.0327,95.573,-90.1562,551.141
61.6711,835.399,-37.4312,43479.6
-46.5526,497.165,-68.4398,58069.3
15.8415,55.2906,5.64976,235.584
24.8516,437.993,-2.67898,171.627
39.562,685.314,148.529,25087.7
28.698,599.49,-2.57465,62482.2
38.46,455.598,51.5805,43157.4
79.5153,688.255,4.64493,24863.7
16.0353,208.293,899.934,8450.92
-8.62632,458.066,-68.4275,8261.37
25.291,388.688,-38.5984,38394
-1.54982,419.676,58.3328,23548.4
36.7131,1735.49,141.997,54112.5
-39.0571,611.186,-31.2862,18306.5
50.299,419.321,-119.117,46184.5
12.4568,493.373,0.0295717,313.494
60.3792,606.739,634.256,30597.6
16.9434,47.7004,-50.8356,307.881
12.0654,30.9904,-62.9557,217.032
43.5261,32.521,6170.6,5085.57
40.4394,603.487,933.684,17750.1
83.7954,517.531,-32.4367,127420
20.1526,646.386,-66.2147,1783.12
36.4737,836.659,-38.9971,24946.3
18.3279,179.547,34.3145,920.826
73.5907,106.794,-125.164,344.225
11.2033,109.549,-122.881,270.224
98099.7,670.593,-78.8615,86583.9
-22.5194,399.929,-72.9999,14399.5
-40.8508,512.883,46.1147,73508.3
168.155,607.88,81.2288,137368
44.9045,558.766,-70.2412,92554.9
