"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
73.7712,56.1198,125.587,132.334
19.9056,96.075,-33.7848,100.451
31.8151,73.6339,-66.7811,36.9093
185.904,101.217,53.2512,100.444
52.359,89.3579,11.3837,91.4535
51.0177,29.2685,-116.772,63.9743
19.1495,44.1286,-105.072,93.1826
24.2082,54.4614,-115.865,90.9701
30.539,41.131,-40.5549,105.674
23.38,41.1947,-27.1143,79.5342
36.2453,177.939,-23.2723,116.758
17.9872,60.3297,-6.56338,76.2877
31.1017,131.916,-2.61897,116.184
10.8262,54.8441,-51.4772,74.8189
72.1826,55.8647,-98.0097,20.9582
15.9034,104.414,-68.2767,94.8376
24.174,99.7755,-18.3967,82.5954
-4.3135,37.1767,-119.494,49.7949
36.6362,96.1377,-143.359,73.3264
-4.93514,47.6366,-22.6708,55.8744
-0.712452,59.5642,-20.0525,50.5291
16.3783,35.646,0.710544,72.5017
48.7587,104.539,66.4984,181.059
46.2365,85.9022,128.923,108.279
42.3172,32.7761,-38.3942,69.0061
31.337,57.3955,-153.551,29.1817
30.7308,105.479,67.4634,90.4481
12.1318,77.915,-109.1,69.7007
8.8473,59.1815,-17.7407,87.8107
20.9051,90.8024,-8.33198,44.1648
45.2585,84.205,-9.94481,101.293
18.6991,93.0627,-90.7644,70.207
17.7171,89.2323,-9.24786,75.8754
30.1478,137.587,143.185,124.793
22.4849,65.1137,-212.833,87.7152
2.21418,55.9285,-23.0143,88.6059
24.2672,32.5848,-20.3373,66.1637
132.379,69.1324,-48.1658,52.8421
14.2052,43.5546,-65.0216,52.2886
14.4372,88.2272,-52.6714,99.5384
35.8791,66.8998,-26.688,60.0761
10.0588,49.1036,-62.4312,99.2293
20.0352,55.9922,-90.4878,19.1145
36.5186,117.743,77.5946,141.174
11.8407,70.153,-55.3734,77.7061
13.4448,125.364,57.2841,112.444
58.7028,195.727,221.351,220.506
29.9593,74.9563,-22.2849,115.311
21.6159,133.163,-101.852,86.9043
24.0419,72.2482,5.77533,72.9313
47.8989,111.614,-124.66,106.164
45.6136,70.2168,8.463,116.625
26.456,14.8565,-3.63986,48.1298
26.0483,27.4191,-37.1619,50.825
107.472,71.8072,-55.6916,57.2276
6.93598,83.7021,-12.3707,117.641
40.4594,93.9414,14.2874,56.316
9.64467,111.99,-10.1487,84.4002
24.7362,74.7045,3.87038,50.558
35.3286,147.67,-41.3727,78.6326
49.8001,83.4506,119.565,132.299
2.91774,8779.34,59.8116,77.3594
8.95728,69.8979,34.1468,75.5915
38.7464,196.282,16.6833,70.1357
26.4382,81.4382,14.5401,62.2823
120.661,102.158,44.8644,114.676
57.1643,129.545,71.3269,105.352
43.5601,60.3297,-86.4724,52.6354
12.8739,94.82,-37.603,78.517
29.2592,109.424,-0.806444,71.3759
33.3312,53.3133,52.5232,57.1253
20.4587,107.796,-52.2783,75.5109
17.1805,54.0787,-0.041272,68.5607
75.71,107.107,37.0943,108.752
28.175,74.5156,-49.1571,76.2164
47.5724,61.8606,-110.502,57.2327
42.3294,35.7098,-79.943,55.4745
130.954,74.5785,-129.251,51.0571
4655.47,131.916,163.99,144.384
2.70442,80.4947,26.9701,40.2194
-4.30674,53.8236,-52.5021,89.1281
69.4963,225.005,118.639,103.433
22.1472,75.0823,33.5577,64.3835
57.0572,51.1446,-58.8395,80.7298
36.4514,75.4601,-58.0889,81.6918
54.5622,98.7722,32.3121,132.738
272.955,87.7874,44.8986,105.742
