strain,PA,IFNB1,treatment,replicate
PB1445350,1.42445,0.005495,none,1
PB1445350,0.8501,0.005685,none,2
PB1445350,8.83549,0.02549,none,3
PB1445350,6.955425,0.01632,none,4
PB1445350,1.61716,0.00588,ribavirin,1
PB1445350,0.847475,0.002535,ribavirin,2
PB1445350,8.339685,0.033995,ribavirin,3
PB1445350,8.503905,0.04061,ribavirin,4
HA475150,5007.93458,0.25882,none,1
HA475150,4153.17803,0.26425,none,2
HA475150,3492.39252,0.26243,none,3
HA475150,2683.68569,0.33681,none,4
HA475150,3.73213,0.00832,ribavirin,1
HA475150,2.63902,0.00837,ribavirin,2
HA475150,7.56846,0.01478,ribavirin,3
HA475150,7.3615,0.0152,ribavirin,4
