Target,Condition,segment,Cq,Replicate
200nt_barcode,minigenome,HA_vRNA,14.06,1
200nt_barcode,minigenome,HA_vRNA,14.1,2
200nt_barcode,minigenome,HA_vRNA,14.63,3
200nt_barcode,no_polymerase,HA_vRNA,18.55,1
200nt_barcode,no_polymerase,HA_vRNA,18.26,2
200nt_barcode,no_polymerase,HA_vRNA,18.6,3
400nt_barcode,minigenome,HA_vRNA,16.04,1
400nt_barcode,minigenome,HA_vRNA,16.01,2
400nt_barcode,minigenome,HA_vRNA,16.48,3
400nt_barcode,no_polymerase,HA_vRNA,18.7,1
400nt_barcode,no_polymerase,HA_vRNA,18.64,2
400nt_barcode,no_polymerase,HA_vRNA,18.36,3
800nt_barcode,minigenome,HA_vRNA,16.23,1
800nt_barcode,minigenome,HA_vRNA,16.17,2
800nt_barcode,minigenome,HA_vRNA,16.56,3
800nt_barcode,no_polymerase,HA_vRNA,18.25,1
800nt_barcode,no_polymerase,HA_vRNA,17.88,2
800nt_barcode,no_polymerase,HA_vRNA,17.09,3
1600nt_barcode,minigenome,HA_vRNA,17.81,1
1600nt_barcode,minigenome,HA_vRNA,18.4,2
1600nt_barcode,minigenome,HA_vRNA,18.27,3
1600nt_barcode,no_polymerase,HA_vRNA,19.32,1
1600nt_barcode,no_polymerase,HA_vRNA,18.9,2
1600nt_barcode,no_polymerase,HA_vRNA,18.37,3
200nt_barcode,minigenome,PB1_vRNA,15.36,1
200nt_barcode,minigenome,PB1_vRNA,14.25,2
200nt_barcode,minigenome,PB1_vRNA,14.76,3
200nt_barcode,no_polymerase,PB1_vRNA,18.15,1
200nt_barcode,no_polymerase,PB1_vRNA,19.06,2
200nt_barcode,no_polymerase,PB1_vRNA,18.47,3
400nt_barcode,minigenome,PB1_vRNA,17.08,1
400nt_barcode,minigenome,PB1_vRNA,16.44,2
400nt_barcode,minigenome,PB1_vRNA,17.07,3
400nt_barcode,no_polymerase,PB1_vRNA,18.46,1
400nt_barcode,no_polymerase,PB1_vRNA,18.97,2
400nt_barcode,no_polymerase,PB1_vRNA,18.78,3
800nt_barcode,minigenome,PB1_vRNA,18.28,1
800nt_barcode,minigenome,PB1_vRNA,18.11,2
800nt_barcode,minigenome,PB1_vRNA,18.21,3
800nt_barcode,no_polymerase,PB1_vRNA,18.25,1
800nt_barcode,no_polymerase,PB1_vRNA,19.2,2
800nt_barcode,no_polymerase,PB1_vRNA,18.63,3
1600nt_barcode,minigenome,PB1_vRNA,18.9,1
1600nt_barcode,minigenome,PB1_vRNA,18.44,2
1600nt_barcode,minigenome,PB1_vRNA,18.48,3
1600nt_barcode,no_polymerase,PB1_vRNA,18.61,1
1600nt_barcode,no_polymerase,PB1_vRNA,19.46,2
1600nt_barcode,no_polymerase,PB1_vRNA,19.36,3
