Percent DI,Segment,Replicate,FL,DI
0,PB2,1,5.359,16.16602898
16.7,PB2,1,5.511,7.373615265
33.3,PB2,1,7.896,5.424672604
95.2,PB2,1,9.200,4.842541695
100,PB2,1,35.341,4.602874279
0,PB2,2,5.219,16.04747009
16.7,PB2,2,5.462,7.299605846
33.3,PB2,2,6.557,5.50238657
95.2,PB2,2,9.067,4.11575222
100,PB2,2,39.856,4.686171055
0,PB2,3,5.182,16.11361885
16.7,PB2,3,5.399,7.67383194
33.3,PB2,3,6.573,5.511045456
95.2,PB2,3,8.733,4.95892477
100,PB2,3,34.920,4.742699623
0,PB1,1,6.179849148,28.50395012
16.7,PB1,1,6.314568043,8.045423508
33.3,PB1,1,7.272040367,5.851950645
95.2,PB1,1,10.02444553,5.337058067
100,PB1,1,37.53787994,5.122160435
0,PB1,2,6.31278944,28.50731468
16.7,PB1,2,6.22419548,7.791603565
33.3,PB1,2,7.496668816,5.668316841
95.2,PB1,2,9.797058105,5.29577589
100,PB1,2,38.59161377,5.410810947
0,PB1,3,6.123751163,28.05883789
16.7,PB1,3,6.277994156,7.627186775
33.3,PB1,3,7.339473248,5.623950481
95.2,PB1,3,9.138255119,5.19807291
100,PB1,3,39.37049484,5.224331379
0,PA,1,6.376102448,33.0873642
16.7,PA,1,6.364423752,8.950379372
33.3,PA,1,7.343566895,6.178165436
95.2,PA,1,9.258883476,6.121387959
100,PA,1,34.90188599,5.616751194
0,PA,2,6.264208317,33.44173431
16.7,PA,2,6.646705627,8.989908218
33.3,PA,2,7.377505779,6.398091316
95.2,PA,2,9.069630623,5.819712162
100,PA,2,36.87520981,5.593995571
0,PA,3,6.262647629,34.46092224
16.7,PA,3,6.407702923,9.108855247
33.3,PA,3,7.47610569,6.404744148
95.2,PA,3,9.154375076,5.753558636
100,PA,3,36.26836777,5.627636909
