segment	fivePrime_1	threePrime_1	fivePrime_2	threePrime_2	counts
HA_vRNA	244	295	404	1517	23
HA_vRNA	444	710	743	1185	1
HA_vRNA	444	710	780	1105	1
HA_vRNA	444	710	792	877	1
NA_vRNA	212	1113	1172	1225	2
NA_vRNA	333	606	690	918	1
NP_vRNA	379	725	883	1041	1
NP_vRNA	410	680	797	854	1
PA_vRNA	72	262	278	2090	4
PA_vRNA	72	262	279	2020	4
PA_vRNA	72	262	283	2044	1
PA_vRNA	72	262	285	1941	2
PA_vRNA	72	262	286	2022	2
PA_vRNA	72	262	287	311	3
PA_vRNA	72	262	299	1989	1
PA_vRNA	72	262	309	324	1
PA_vRNA	72	262	328	2097	47
PA_vRNA	72	262	329	2022	21
PA_vRNA	72	262	359	1874	1
PA_vRNA	72	262	363	1870	1
PA_vRNA	72	262	388	1929	10
PA_vRNA	72	262	397	1845	1
PA_vRNA	72	262	403	2068	1
PA_vRNA	72	262	409	2044	8
PA_vRNA	72	262	420	1938	1
PA_vRNA	72	262	433	1980	1
PA_vRNA	72	262	436	1766	4
PA_vRNA	72	262	453	1719	1
PA_vRNA	72	262	471	1782	9
PA_vRNA	72	262	471	1824	6
PA_vRNA	72	262	475	1777	1
PA_vRNA	72	262	475	1857	2
PA_vRNA	72	262	479	1790	3
PA_vRNA	72	262	523	1932	1
PA_vRNA	72	262	537	1789	1
PA_vRNA	72	262	538	2010	2
PA_vRNA	72	262	1980	2049	2
PA_vRNA	167	184	281	2095	70
PA_vRNA	189	252	328	2097	2
PA_vRNA	285	1941	1980	2049	7
PA_vRNA	287	311	538	2010	42
PA_vRNA	297	309	474	1816	5
PA_vRNA	309	324	328	2097	1
PA_vRNA	329	437	570	1772	6
PA_vRNA	330	344	425	1864	1
PA_vRNA	358	394	568	1784	3
PA_vRNA	413	1941	2022	2046	1
PA_vRNA	471	1822	2047	2084	1
PA_vRNA	471	1824	1865	1877	1
PA_vRNA	479	1790	1865	1877	69
PA_vRNA	490	562	618	1701	1
PA_vRNA	537	1868	1959	1995	1
PA_vRNA	562	1784	2035	2045	8
PB1_vRNA	205	235	522	623	1
PB1_vRNA	234	274	350	2057	27
PB1_vRNA	241	264	327	2021	36
PB1_vRNA	241	1902	2055	2075	116
PB1_vRNA	252	321	416	2016	73
PB1_vRNA	253	274	434	2063	1
PB1_vRNA	275	330	415	1952	325
PB1_vRNA	275	330	416	1953	2
PB1_vRNA	275	330	418	1955	9
PB1_vRNA	292	308	462	2023	1
PB1_vRNA	307	376	554	1997	1
PB1_vRNA	324	337	444	2030	45
PB1_vRNA	337	376	418	2024	2
PB1_vRNA	372	2015	2152	2195	1
PB1_vRNA	374	425	486	1998	4
PB1_vRNA	423	448	514	1930	22
PB1_vRNA	445	475	590	623	1
PB1_vRNA	445	491	534	1826	28
PB1_vRNA	445	501	714	1802	1
PB1_vRNA	478	490	534	1927	10
PB1_vRNA	517	1229	1282	1682	1
PB1_vRNA	522	623	823	1345	1
PB1_vRNA	624	643	697	1804	1
PB1_vRNA	731	796	862	1745	10
PB2_vRNA	187	404	546	1883	1
PB2_vRNA	206	2154	2211	2247	1
PB2_vRNA	210	280	317	2156	1
PB2_vRNA	214	284	317	2156	1
PB2_vRNA	320	390	461	1943	2
PB2_vRNA	397	530	550	1887	4
PB2_vRNA	397	530	559	1869	1
PB2_vRNA	397	530	594	2122	1
PB2_vRNA	397	530	612	1889	2
PB2_vRNA	397	530	625	1788	1
PB2_vRNA	445	1909	1974	1989	5
PB2_vRNA	456	1767	1889	1989	3
PB2_vRNA	486	533	688	1885	52
PB2_vRNA	526	551	634	1840	1
PB2_vRNA	707	793	812	1678	1
PB2_vRNA	707	1651	1675	2033	1
PB2_vRNA	1502	1518	1675	2033	1
