segment	left	right	count
PB2_vRNA	208	2150	22483
PB2_vRNA	208	2152	11
PB2_vRNA	208	2151	2
PB2_vRNA	208	2154	2
PB2_vRNA	208	285	1
PB2_vRNA	309	2069	4645
PB2_vRNA	309	1949	2
PB2_vRNA	309	1972	2
PB2_vRNA	443	1942	2302
PB2_vRNA	341	2142	328
PB2_vRNA	789	2187	1300
PB2_vRNA	206	2154	2542
PB2_vRNA	389	1956	278
PB2_vRNA	389	1983	8
PB2_vRNA	389	2043	4
PB2_vRNA	389	2037	2
PB2_vRNA	389	687	1
PB2_vRNA	273	2220	1395
PB2_vRNA	273	2221	2
PB2_vRNA	311	2057	965
PB2_vRNA	292	2024	785
PB2_vRNA	583	1778	76
PB2_vRNA	312	1975	40
PB2_vRNA	516	1866	278
PB2_vRNA	516	1857	2
PB2_vRNA	516	1918	28
PB2_vRNA	516	1890	2
PB2_vRNA	516	546	1
PB2_vRNA	558	1837	174
PB2_vRNA	217	287	82
PB2_vRNA	2211	2247	673
PB2_vRNA	487	1995	95
PB2_vRNA	277	2015	675
PB2_vRNA	369	2078	213
PB2_vRNA	268	2241	227
PB2_vRNA	268	2126	19
PB2_vRNA	268	2099	4
PB2_vRNA	268	2215	1
PB2_vRNA	689	1833	2
PB2_vRNA	497	526	1
PB2_vRNA	279	2152	366
PB2_vRNA	266	2097	5
PB2_vRNA	267	2098	619
PB2_vRNA	267	2181	7
PB2_vRNA	267	2150	5
PB2_vRNA	407	2084	21
PB2_vRNA	438	2047	7
PB2_vRNA	330	2036	185
PB2_vRNA	687	1830	276
PB2_vRNA	511	1830	197
PB2_vRNA	563	1877	216
PB2_vRNA	563	2151	1
PB2_vRNA	604	1871	2
PB2_vRNA	506	1924	47
PB2_vRNA	876	1731	43
PB2_vRNA	460	1998	24
PB2_vRNA	989	1636	12
PB2_vRNA	517	1960	130
PB2_vRNA	517	1962	2
PB2_vRNA	515	1412	2
PB2_vRNA	165	2228	8
PB2_vRNA	471	1890	10
PB2_vRNA	537	1782	124
PB2_vRNA	537	1118	1
PB2_vRNA	264	2201	5
PB2_vRNA	493	1933	21
PB2_vRNA	493	1525	1
PB2_vRNA	477	1958	9
PB2_vRNA	528	2031	6
PB2_vRNA	1903	1969	5
PB2_vRNA	291	2128	38
PB2_vRNA	411	1632	1
PB2_vRNA	229	2197	11
PB2_vRNA	1430	2249	29
PB2_vRNA	507	1866	75
PB2_vRNA	387	1954	1
PB2_vRNA	387	1645	2
PB2_vRNA	387	1579	1
PB2_vRNA	804	1700	41
PB2_vRNA	283	2102	10
PB2_vRNA	972	1578	2
PB2_vRNA	500	2019	30
PB2_vRNA	318	422	1
PB2_vRNA	212	2118	6
PB2_vRNA	235	2135	3
PB2_vRNA	448	2036	16
PB2_vRNA	752	1785	48
PB2_vRNA	220	2191	21
PB2_vRNA	660	931	5
PB2_vRNA	660	1313	3
PB2_vRNA	210	280	40
PB2_vRNA	568	1864	50
PB2_vRNA	1531	2066	2
PB2_vRNA	381	529	2
PB2_vRNA	381	2050	1
PB2_vRNA	716	897	3
PB2_vRNA	468	1877	57
PB2_vRNA	385	591	1
PB2_vRNA	385	941	2
PB2_vRNA	868	1600	36
PB2_vRNA	265	302	5
PB2_vRNA	246	2153	19
PB2_vRNA	246	1962	7
PB2_vRNA	1173	2119	6
PB2_vRNA	317	525	15
PB2_vRNA	317	2156	1
PB2_vRNA	588	1889	8
PB2_vRNA	323	1982	7
PB2_vRNA	320	1969	8
PB2_vRNA	531	1120	2
PB2_vRNA	491	1909	29
PB2_vRNA	376	390	2
PB2_vRNA	376	2228	4
PB2_vRNA	253	2209	10
PB2_vRNA	584	1848	15
PB2_vRNA	584	1872	2
PB2_vRNA	518	1822	12
PB2_vRNA	198	2059	2
PB2_vRNA	480	2012	8
PB2_vRNA	353	856	3
PB2_vRNA	1448	1501	2
PB2_vRNA	653	1855	6
PB2_vRNA	832	2189	2
PB2_vRNA	476	2060	8
PB2_vRNA	565	1944	3
PB2_vRNA	241	2102	10
PB2_vRNA	162	2122	11
PB2_vRNA	308	2069	1
PB2_vRNA	382	1237	2
PB2_vRNA	510	2106	1
PB2_vRNA	510	1829	1
PB2_vRNA	423	2023	7
PB2_vRNA	423	453	1
PB2_vRNA	957	1027	1
PB2_vRNA	156	428	1
PB2_vRNA	478	1785	2
PB2_vRNA	478	1357	1
PB2_vRNA	216	2182	27
PB2_vRNA	216	286	1
PB2_vRNA	452	1954	7
PB2_vRNA	607	1602	2
PB2_vRNA	454	1971	13
PB2_vRNA	1890	1952	4
PB2_vRNA	803	1050	1
PB2_vRNA	710	1470	2
PB2_vRNA	710	860	4
PB2_vRNA	621	1809	4
PB2_vRNA	919	1009	4
PB2_vRNA	334	2040	2
PB2_vRNA	207	391	1
PB2_vRNA	207	2150	2
PB2_vRNA	207	2149	1
PB2_vRNA	181	1688	2
PB2_vRNA	391	524	2
PB2_vRNA	391	2063	16
PB2_vRNA	391	1958	1
PB2_vRNA	391	1248	2
PB2_vRNA	967	1116	2
PB2_vRNA	149	376	2
PB2_vRNA	529	884	1
PB2_vRNA	251	424	6
PB2_vRNA	377	2035	4
PB2_vRNA	847	1692	10
PB2_vRNA	650	1871	25
PB2_vRNA	200	2249	2
PB2_vRNA	1292	1934	1
PB2_vRNA	230	2212	8
PB2_vRNA	230	2198	1
PB2_vRNA	1548	2043	2
PB2_vRNA	590	1844	2
PB2_vRNA	509	1808	6
PB2_vRNA	502	900	1
PB2_vRNA	502	1470	1
PB2_vRNA	458	2050	19
PB2_vRNA	164	310	2
PB2_vRNA	741	1783	7
PB2_vRNA	1049	1911	2
PB2_vRNA	751	2099	2
PB2_vRNA	1067	2086	3
PB2_vRNA	1375	1519	2
PB2_vRNA	841	1365	2
PB2_vRNA	841	2109	2
PB2_vRNA	744	2059	4
PB2_vRNA	171	2247	4
PB2_vRNA	597	1085	1
PB2_vRNA	1712	1786	1
PB2_vRNA	707	1156	7
PB2_vRNA	177	2234	6
PB2_vRNA	177	2103	2
PB2_vRNA	891	1012	1
PB2_vRNA	891	1536	3
PB2_vRNA	848	1347	2
PB2_vRNA	873	1729	1
PB2_vRNA	715	730	1
PB2_vRNA	598	1902	2
PB2_vRNA	724	2119	1
PB2_vRNA	386	1953	1
PB2_vRNA	386	1565	1
PB2_vRNA	154	2121	2
PB2_vRNA	600	1879	2
PB2_vRNA	600	1265	1
PB2_vRNA	499	1286	1
PB2_vRNA	1454	1862	2
PB2_vRNA	1454	1496	4
PB2_vRNA	1188	1212	2
PB2_vRNA	831	1449	2
PB2_vRNA	580	601	3
PB2_vRNA	1110	1651	1
PB2_vRNA	852	881	7
PB2_vRNA	536	1781	1
PB2_vRNA	536	971	3
PB2_vRNA	593	2012	2
PB2_vRNA	1098	1512	6
PB2_vRNA	1098	1291	1
PB2_vRNA	270	2217	2
PB2_vRNA	250	2094	23
PB2_vRNA	833	919	1
PB2_vRNA	1826	1937	2
PB2_vRNA	408	1714	2
PB2_vRNA	121	683	4
PB2_vRNA	174	2157	16
PB2_vRNA	505	751	2
PB2_vRNA	964	1263	2
PB2_vRNA	718	1057	2
PB2_vRNA	260	2180	2
PB2_vRNA	388	896	1
PB2_vRNA	388	1269	1
PB2_vRNA	380	1690	1
PB2_vRNA	380	1745	2
PB2_vRNA	380	755	1
PB2_vRNA	398	531	5
PB2_vRNA	561	1827	2
PB2_vRNA	133	1610	1
PB2_vRNA	1779	2125	2
PB2_vRNA	374	436	3
PB2_vRNA	395	889	2
PB2_vRNA	395	1576	2
PB2_vRNA	750	803	1
PB2_vRNA	310	2070	1
PB2_vRNA	1072	1290	1
PB2_vRNA	702	861	2
PB2_vRNA	624	1922	2
PB2_vRNA	861	965	2
PB2_vRNA	1254	1516	2
PB2_vRNA	1156	1803	2
PB2_vRNA	1179	1473	2
PB2_vRNA	680	1220	2
PB2_vRNA	690	1756	4
PB2_vRNA	705	855	1
PB2_vRNA	703	882	1
PB2_vRNA	354	1268	1
PB2_vRNA	159	1299	4
PB2_vRNA	159	1550	1
PB2_vRNA	1153	1573	1
PB2_vRNA	1089	1402	5
PB2_vRNA	209	2151	24
PB2_vRNA	521	1959	1
PB2_vRNA	231	2118	12
PB2_vRNA	1697	1782	2
PB2_vRNA	1697	1743	5
PB2_vRNA	178	301	5
PB2_vRNA	1081	1503	4
PB2_vRNA	399	899	2
PB2_vRNA	1514	2222	1
PB2_vRNA	357	1739	5
PB2_vRNA	881	1097	2
PB2_vRNA	816	830	3
