segment	fivePrime	threePrime	counts
PB2_vRNA	1880	1923	2
PB1_vRNA	831	1530	0
PB1_vRNA	629	656	1
NP_vRNA	532	1116	0
HA_vRNA	488	1441	0
PA_vRNA	270	1990	0
NA_vRNA	375	1258	0
NP_vRNA	1125	1166	0
NP_vRNA	396	493	0
NS_vRNA	189	717	2
PB1_vRNA	327	2213	0
PA_vRNA	212	1999	0
NP_vRNA	893	1203	0
NP_vRNA	439	1223	0
PB1_vRNA	242	2256	0
PB2_vRNA	387	745	0
PA_vRNA	1048	2015	0
PB1_vRNA	459	1991	0
PB1_vRNA	202	1159	0
PB2_vRNA	290	2039	0
PB1_vRNA	426	1993	0
HA_vRNA	523	1334	0
PB2_vRNA	1267	1391	0
NP_vRNA	140	741	1
NP_vRNA	938	996	0
PB1_vRNA	358	2100	0
PB1_vRNA	437	469	0
PB1_vRNA	378	2226	0
NA_vRNA	175	1323	0
PA_vRNA	240	2102	0
PB2_vRNA	1796	1931	0
NA_vRNA	946	985	0
PB2_vRNA	311	2000	0
PB1_vRNA	429	2005	0
HA_vRNA	199	665	2
NA_vRNA	451	913	0
PA_vRNA	538	1825	0
PB1_vRNA	360	2016	0
PA_vRNA	359	1990	4
PB1_vRNA	430	1870	33
NA_vRNA	503	1019	0
PB2_vRNA	242	1992	1
PB1_vRNA	270	2074	0
PA_vRNA	251	1948	0
PB1_vRNA	1530	1748	0
PB2_vRNA	555	1905	0
HA_vRNA	450	1007	2
PA_vRNA	268	2011	0
PB1_vRNA	515	1985	0
PB1_vRNA	528	1793	0
PB2_vRNA	558	1837	40
PB1_vRNA	541	1999	0
PA_vRNA	334	1998	0
PB1_vRNA	445	1883	0
NA_vRNA	163	652	0
NP_vRNA	538	809	0
HA_vRNA	182	650	0
PA_vRNA	600	1855	0
M_vRNA	122	895	1
NP_vRNA	151	1121	0
M_vRNA	489	848	0
NA_vRNA	380	554	1
NP_vRNA	276	883	0
PA_vRNA	1227	1836	0
M_vRNA	515	618	0
PB2_vRNA	438	2009	0
NA_vRNA	274	1308	0
PB2_vRNA	124	627	2
PA_vRNA	615	1644	0
PB1_vRNA	390	2067	6
PA_vRNA	256	2069	0
PB2_vRNA	243	382	0
PB1_vRNA	246	2201	0
NA_vRNA	843	889	0
NA_vRNA	167	691	1
PB1_vRNA	373	2016	5
PB1_vRNA	437	2045	0
PB2_vRNA	458	2050	0
PA_vRNA	362	1970	20
HA_vRNA	369	1532	0
NA_vRNA	450	534	0
PB2_vRNA	707	1779	0
PB2_vRNA	852	1112	0
NA_vRNA	204	1077	0
PA_vRNA	166	1701	0
NS_vRNA	230	614	0
PA_vRNA	295	2036	0
PB2_vRNA	424	2061	0
HA_vRNA	228	1638	4
HA_vRNA	605	1665	1
PB1_vRNA	387	2149	1
NP_vRNA	378	720	0
PB1_vRNA	520	1796	0
PB1_vRNA	472	2086	0
HA_vRNA	608	1346	0
PA_vRNA	479	1929	0
PA_vRNA	1233	1677	0
NA_vRNA	742	937	0
NA_vRNA	235	249	0
NS_vRNA	292	731	0
HA_vRNA	226	546	0
PB2_vRNA	264	2211	0
PA_vRNA	282	1981	2
PB2_vRNA	321	2083	3
PB2_vRNA	268	2075	0
PB1_vRNA	277	2235	1
NP_vRNA	185	721	0
NA_vRNA	448	492	1
PA_vRNA	869	1661	24
PB2_vRNA	438	2085	0
PB2_vRNA	608	1830	0
PB2_vRNA	475	525	0
PA_vRNA	1315	2138	1
PA_vRNA	235	2091	7
NP_vRNA	135	920	1
NP_vRNA	329	1370	0
PA_vRNA	379	1943	6
PA_vRNA	694	1571	0
PB2_vRNA	2043	2103	0
PA_vRNA	63	756	0
PB1_vRNA	386	1955	0
PA_vRNA	1143	1393	1
PA_vRNA	348	2046	0
NA_vRNA	188	1186	1
PA_vRNA	350	361	0
PB2_vRNA	387	2061	0
PB1_vRNA	427	1952	0
PA_vRNA	503	1742	0
PB1_vRNA	414	2001	0
PA_vRNA	758	1696	10
NA_vRNA	398	794	0
NP_vRNA	585	1049	0
PA_vRNA	525	1962	0
