segment	left	right	count
PA_vRNA	427	1826	11720
PA_vRNA	427	1828	2
PA_vRNA	427	1921	2
PA_vRNA	427	1979	2
PA_vRNA	427	1922	1
PA_vRNA	427	1954	1
PA_vRNA	665	1724	3426
PA_vRNA	665	1787	1
PA_vRNA	266	2052	53
PA_vRNA	266	2064	2
PA_vRNA	266	2016	2
PA_vRNA	266	2070	1
PA_vRNA	304	2120	1214
PA_vRNA	304	1876	1
PA_vRNA	304	2116	5
PA_vRNA	304	1977	2
PA_vRNA	304	2034	2
PA_vRNA	304	430	1
PA_vRNA	237	2091	7339
PA_vRNA	237	2017	41
PA_vRNA	237	2051	5
PA_vRNA	237	2061	6
PA_vRNA	237	2007	1
PA_vRNA	237	1999	1
PA_vRNA	224	1977	9
PA_vRNA	224	696	621
PA_vRNA	224	2114	131
PA_vRNA	224	1953	2
PA_vRNA	224	2055	1
PA_vRNA	224	1876	1
PA_vRNA	224	2097	2
PA_vRNA	308	1995	3927
PA_vRNA	308	434	213
PA_vRNA	308	2027	2
PA_vRNA	308	2012	3
PA_vRNA	308	2022	1
PA_vRNA	460	1933	42
PA_vRNA	460	1868	1
PA_vRNA	284	2028	1156
PA_vRNA	284	2074	2
PA_vRNA	284	1986	1
PA_vRNA	284	1977	4
PA_vRNA	284	2050	2
PA_vRNA	284	1938	2
PA_vRNA	656	1680	3
PA_vRNA	656	1664	1
PA_vRNA	656	2151	5
PA_vRNA	656	1726	2
PA_vRNA	656	1826	1
PA_vRNA	253	2062	2540
PA_vRNA	253	2047	1
PA_vRNA	253	1990	6
PA_vRNA	253	1871	6
PA_vRNA	253	2012	2
PA_vRNA	592	1758	1343
PA_vRNA	592	1151	1
PA_vRNA	291	356	440
PA_vRNA	291	2050	1149
PA_vRNA	291	2027	1
PA_vRNA	291	2117	2
PA_vRNA	291	2033	2
PA_vRNA	291	2047	1
PA_vRNA	242	1999	2372
PA_vRNA	242	2068	61
PA_vRNA	330	2012	1130
PA_vRNA	293	1998	169
PA_vRNA	293	2161	5
PA_vRNA	293	2074	1
PA_vRNA	293	1983	2
PA_vRNA	293	1893	2
PA_vRNA	293	2071	2
PA_vRNA	293	2046	2
PA_vRNA	298	1986	336
PA_vRNA	298	1964	13
PA_vRNA	298	2055	4
PA_vRNA	298	2039	1
PA_vRNA	590	1789	815
PA_vRNA	590	1756	3
PA_vRNA	395	1883	5
PA_vRNA	395	1958	2
PA_vRNA	395	1931	2
PA_vRNA	386	1959	32
PA_vRNA	386	2021	1
PA_vRNA	452	1878	1314
PA_vRNA	452	1985	2
PA_vRNA	452	2000	2
PA_vRNA	452	1930	2
PA_vRNA	346	1965	24
PA_vRNA	302	2044	551
PA_vRNA	297	2038	397
PA_vRNA	297	2105	40
PA_vRNA	297	1988	2
PA_vRNA	297	1947	4
PA_vRNA	297	326	2
PA_vRNA	297	2045	1
PA_vRNA	664	1707	2
PA_vRNA	434	1904	66
PA_vRNA	434	1963	41
PA_vRNA	434	1629	1
PA_vRNA	247	1792	305
PA_vRNA	247	2032	2
PA_vRNA	263	2024	290
PA_vRNA	263	2091	2
PA_vRNA	263	2075	2
PA_vRNA	263	1990	2
PA_vRNA	263	2027	1
PA_vRNA	651	1791	182
PA_vRNA	651	1711	2
PA_vRNA	651	694	1
PA_vRNA	651	1475	1
PA_vRNA	651	1557	1
PA_vRNA	360	2025	39
PA_vRNA	360	1927	11
PA_vRNA	360	1917	1
PA_vRNA	196	2104	6
PA_vRNA	196	2018	1
PA_vRNA	315	1963	2
PA_vRNA	315	2181	4
PA_vRNA	315	1715	2
PA_vRNA	315	1946	1
PA_vRNA	315	2017	2
PA_vRNA	315	329	1
PA_vRNA	526	1801	2
PA_vRNA	526	1878	1
PA_vRNA	526	1967	1
PA_vRNA	526	1874	1
PA_vRNA	526	1803	2
PA_vRNA	526	1644	1
PA_vRNA	526	1825	2
PA_vRNA	526	1876	2
PA_vRNA	526	1677	1
PA_vRNA	526	1726	2
PA_vRNA	526	1791	2
PA_vRNA	526	1880	1
PA_vRNA	719	1630	2
PA_vRNA	719	983	2
PA_vRNA	719	1742	4
PA_vRNA	719	1877	2
PA_vRNA	690	1022	6
PA_vRNA	690	1131	4
PA_vRNA	690	1686	1
PA_vRNA	389	1960	3
PA_vRNA	389	1869	2
PA_vRNA	389	1939	2
PA_vRNA	389	1933	2
PA_vRNA	389	2051	1
PA_vRNA	389	1920	1
PA_vRNA	462	1872	3
PA_vRNA	462	1862	2
PA_vRNA	462	1811	2
PA_vRNA	462	1841	2
PA_vRNA	462	1718	1
PA_vRNA	462	1802	1
PA_vRNA	496	2017	130
PA_vRNA	496	1929	2
PA_vRNA	496	1669	1
PA_vRNA	320	1999	2
PA_vRNA	320	2049	2
PA_vRNA	320	1998	2
PA_vRNA	320	1974	13
PA_vRNA	320	1948	1
PA_vRNA	320	1382	2
PA_vRNA	320	1956	2
PA_vRNA	320	2121	2
PA_vRNA	320	1977	2
PA_vRNA	320	1965	2
PA_vRNA	755	1583	4
PA_vRNA	755	1826	1
PA_vRNA	755	1496	1
PA_vRNA	235	2054	4
PA_vRNA	235	2051	2
PA_vRNA	235	2089	9
PA_vRNA	235	2072	5
PA_vRNA	235	2033	2
PA_vRNA	235	2091	10
PA_vRNA	235	2080	1
PA_vRNA	265	1997	2
PA_vRNA	265	2095	3
PA_vRNA	265	2058	4
PA_vRNA	265	2050	3
PA_vRNA	265	2053	3
PA_vRNA	265	2030	2
PA_vRNA	265	1875	1
PA_vRNA	265	2052	1
PA_vRNA	265	2032	1
PA_vRNA	265	2059	1
PA_vRNA	209	2141	3
PA_vRNA	209	2054	2
PA_vRNA	209	2075	2
PA_vRNA	209	1978	1
PA_vRNA	209	2083	2
PA_vRNA	209	2164	2
PA_vRNA	371	2002	1
PA_vRNA	869	1661	10
PA_vRNA	869	1445	1
PA_vRNA	753	1732	1
PA_vRNA	258	2052	147
PA_vRNA	258	2054	4
PA_vRNA	258	2072	1
PA_vRNA	347	1963	2
PA_vRNA	347	1952	1
PA_vRNA	367	2147	2
PA_vRNA	367	2059	2
PA_vRNA	367	1933	3
PA_vRNA	367	1885	2
PA_vRNA	285	1953	86
PA_vRNA	285	2052	22
PA_vRNA	285	1843	2
PA_vRNA	221	2068	6
PA_vRNA	221	2108	2
PA_vRNA	221	2091	1
PA_vRNA	221	2018	2
PA_vRNA	221	1931	2
PA_vRNA	221	2056	2
PA_vRNA	221	2110	1
PA_vRNA	221	2105	2
PA_vRNA	221	2072	2
PA_vRNA	221	693	1
PA_vRNA	321	2031	57
PA_vRNA	321	1950	2
PA_vRNA	476	1889	198
PA_vRNA	476	1869	1
PA_vRNA	257	1941	200
PA_vRNA	257	2045	10
PA_vRNA	257	1979	13
PA_vRNA	257	2047	2
PA_vRNA	257	1938	4
PA_vRNA	256	2016	7
PA_vRNA	256	2058	12
PA_vRNA	256	1896	2
PA_vRNA	256	2069	1
PA_vRNA	238	2012	5
PA_vRNA	238	2060	2
PA_vRNA	238	2073	2
PA_vRNA	238	1972	1
PA_vRNA	238	2014	2
PA_vRNA	238	1973	2
PA_vRNA	238	1917	1
PA_vRNA	334	1905	5
PA_vRNA	334	1957	2
PA_vRNA	334	1979	1
PA_vRNA	334	1841	5
PA_vRNA	334	1961	6
PA_vRNA	334	2049	1
PA_vRNA	334	1948	2
PA_vRNA	334	1930	2
PA_vRNA	334	2019	2
PA_vRNA	334	2025	2
PA_vRNA	334	1998	2
PA_vRNA	334	1977	2
PA_vRNA	334	2022	1
PA_vRNA	334	1953	2
PA_vRNA	334	2053	1
PA_vRNA	334	2073	1
PA_vRNA	350	1987	62
PA_vRNA	350	1904	2
PA_vRNA	350	1915	1
PA_vRNA	350	2018	1
PA_vRNA	350	1887	8
PA_vRNA	350	1857	2
PA_vRNA	350	1985	2
PA_vRNA	350	1875	1
PA_vRNA	350	1983	1
PA_vRNA	350	2026	1
PA_vRNA	479	1919	283
PA_vRNA	397	1938	1
PA_vRNA	397	1842	3
PA_vRNA	397	1944	6
PA_vRNA	397	1852	2
PA_vRNA	335	1895	55
PA_vRNA	335	1767	21
PA_vRNA	335	2057	1
PA_vRNA	335	2002	2
PA_vRNA	369	2075	8
PA_vRNA	369	1938	1
PA_vRNA	369	1894	2
PA_vRNA	450	1885	31
PA_vRNA	450	1876	1
PA_vRNA	281	2100	6
PA_vRNA	281	2095	1
PA_vRNA	538	643	4
PA_vRNA	538	1823	13
PA_vRNA	538	1719	18
PA_vRNA	538	1797	1
PA_vRNA	538	1825	1
PA_vRNA	538	1777	1
PA_vRNA	538	1877	1
PA_vRNA	425	1943	2
PA_vRNA	425	480	5
PA_vRNA	425	1825	2
PA_vRNA	425	1843	1
PA_vRNA	758	1696	15
PA_vRNA	758	1728	1
PA_vRNA	1444	1475	1
PA_vRNA	195	1937	5
PA_vRNA	195	2105	1
PA_vRNA	195	1986	2
PA_vRNA	161	2041	2
PA_vRNA	161	177	1
PA_vRNA	244	2097	78
PA_vRNA	117	179	8
PA_vRNA	117	2022	4
PA_vRNA	193	2000	14
PA_vRNA	193	2133	2
PA_vRNA	193	2091	1
PA_vRNA	193	1709	1
PA_vRNA	329	1979	2
PA_vRNA	329	2019	2
PA_vRNA	329	2022	2
PA_vRNA	329	1828	1
PA_vRNA	279	2020	1
PA_vRNA	470	1884	40
PA_vRNA	470	1805	9
PA_vRNA	470	1776	56
PA_vRNA	470	1999	2
PA_vRNA	286	2048	13
PA_vRNA	286	2022	2
PA_vRNA	1430	1598	2
PA_vRNA	180	2007	7
PA_vRNA	180	2115	2
PA_vRNA	1223	2146	11
PA_vRNA	234	2141	2
PA_vRNA	234	1915	7
PA_vRNA	234	2117	2
PA_vRNA	234	2112	2
PA_vRNA	234	2103	2
PA_vRNA	212	2024	9
PA_vRNA	212	1981	2
PA_vRNA	212	1999	1
PA_vRNA	566	1933	2
PA_vRNA	566	1726	4
PA_vRNA	566	1894	1
PA_vRNA	599	1158	10
PA_vRNA	159	1973	11
PA_vRNA	318	2124	97
PA_vRNA	318	2034	4
PA_vRNA	318	2085	2
PA_vRNA	318	1997	1
PA_vRNA	445	1895	16
PA_vRNA	445	1928	4
PA_vRNA	543	1823	3
PA_vRNA	543	1882	3
PA_vRNA	543	1779	2
PA_vRNA	543	1666	4
PA_vRNA	543	1824	1
PA_vRNA	543	1802	7
PA_vRNA	543	1872	2
PA_vRNA	543	1829	2
PA_vRNA	543	1817	2
PA_vRNA	543	1932	4
PA_vRNA	328	2097	3
PA_vRNA	328	1865	1
PA_vRNA	619	1722	1
PA_vRNA	619	1778	2
PA_vRNA	410	1955	44
PA_vRNA	410	1974	1
PA_vRNA	410	1841	2
PA_vRNA	287	1964	6
PA_vRNA	376	2011	2
PA_vRNA	376	1882	2
PA_vRNA	376	1044	2
PA_vRNA	376	2002	1
PA_vRNA	376	2039	2
PA_vRNA	376	1880	1
PA_vRNA	527	1841	27
PA_vRNA	527	1706	2
PA_vRNA	527	1772	5
PA_vRNA	527	1978	2
PA_vRNA	634	1818	1
PA_vRNA	634	1723	6
PA_vRNA	296	1897	2
PA_vRNA	296	334	2
PA_vRNA	296	1984	2
PA_vRNA	296	2022	2
PA_vRNA	296	2040	2
PA_vRNA	296	2052	1
PA_vRNA	296	2032	1
PA_vRNA	657	1699	2
PA_vRNA	657	1704	14
PA_vRNA	657	754	1
PA_vRNA	657	1649	1
PA_vRNA	276	2049	34
PA_vRNA	276	1978	4
PA_vRNA	276	1997	2
PA_vRNA	276	1920	1
PA_vRNA	408	1957	22
PA_vRNA	408	1935	2
PA_vRNA	408	1874	1
PA_vRNA	509	1802	1
PA_vRNA	509	1930	1
PA_vRNA	509	1771	2
PA_vRNA	262	2098	19
