PB2_vRNA	1881	1922	+
PB1_vRNA	832	1529	+
PB1_vRNA	630	655	+
NP_vRNA	533	1115	+
HA_vRNA	489	1440	+
PA_vRNA	271	1989	+
NA_vRNA	376	1257	+
NP_vRNA	1126	1165	+
NP_vRNA	397	492	+
NS_vRNA	190	716	+
PB1_vRNA	328	2212	+
PA_vRNA	213	1998	+
NP_vRNA	894	1202	+
NP_vRNA	440	1222	+
PB1_vRNA	243	2255	+
PB2_vRNA	388	744	+
PA_vRNA	1049	2014	+
PB1_vRNA	460	1990	+
PB1_vRNA	203	1158	+
PB2_vRNA	291	2038	+
PB1_vRNA	427	1992	+
HA_vRNA	524	1333	+
PB2_vRNA	1268	1390	+
NP_vRNA	141	740	+
NP_vRNA	939	995	+
PB1_vRNA	359	2099	+
PB1_vRNA	438	468	+
PB1_vRNA	379	2225	+
NA_vRNA	176	1322	+
PA_vRNA	241	2101	+
PB2_vRNA	1797	1930	+
NA_vRNA	947	984	+
PB2_vRNA	312	1999	+
PB1_vRNA	430	2004	+
HA_vRNA	200	664	+
NA_vRNA	452	912	+
PA_vRNA	539	1824	+
PB1_vRNA	361	2015	+
PA_vRNA	360	1989	+
PB1_vRNA	431	1869	+
NA_vRNA	504	1018	+
PB2_vRNA	243	1991	+
PB1_vRNA	271	2073	+
PA_vRNA	252	1947	+
PB1_vRNA	1531	1747	+
PB2_vRNA	556	1904	+
HA_vRNA	451	1006	+
PA_vRNA	269	2010	+
PB1_vRNA	516	1984	+
PB1_vRNA	529	1792	+
PB2_vRNA	559	1836	+
PB1_vRNA	542	1998	+
PA_vRNA	335	1997	+
PB1_vRNA	446	1882	+
NA_vRNA	164	651	+
NP_vRNA	539	808	+
HA_vRNA	183	649	+
PA_vRNA	601	1854	+
M_vRNA	123	894	+
NP_vRNA	152	1120	+
M_vRNA	490	847	+
NA_vRNA	381	553	+
NP_vRNA	277	882	+
PA_vRNA	1228	1835	+
M_vRNA	516	617	+
PB2_vRNA	439	2008	+
NA_vRNA	275	1307	+
PB2_vRNA	125	626	+
PA_vRNA	616	1643	+
PB1_vRNA	391	2066	+
PA_vRNA	257	2068	+
PB2_vRNA	244	381	+
PB1_vRNA	247	2200	+
NA_vRNA	844	888	+
NA_vRNA	168	690	+
PB1_vRNA	374	2015	+
PB1_vRNA	438	2044	+
PB2_vRNA	459	2049	+
PA_vRNA	363	1969	+
HA_vRNA	370	1531	+
NA_vRNA	451	533	+
PB2_vRNA	708	1778	+
PB2_vRNA	853	1111	+
NA_vRNA	205	1076	+
PA_vRNA	167	1700	+
NS_vRNA	231	613	+
PA_vRNA	296	2035	+
PB2_vRNA	425	2060	+
HA_vRNA	229	1637	+
HA_vRNA	606	1664	+
PB1_vRNA	388	2148	+
NP_vRNA	379	719	+
PB1_vRNA	521	1795	+
PB1_vRNA	473	2085	+
HA_vRNA	609	1345	+
PA_vRNA	480	1928	+
PA_vRNA	1234	1676	+
NA_vRNA	743	936	+
NA_vRNA	236	248	+
NS_vRNA	293	730	+
HA_vRNA	227	545	+
PB2_vRNA	265	2210	+
PA_vRNA	283	1980	+
PB2_vRNA	322	2082	+
PB2_vRNA	269	2074	+
PB1_vRNA	278	2234	+
NP_vRNA	186	720	+
NA_vRNA	449	491	+
PA_vRNA	870	1660	+
PB2_vRNA	439	2084	+
PB2_vRNA	609	1829	+
PB2_vRNA	476	524	+
PA_vRNA	1316	2137	+
PA_vRNA	236	2090	+
NP_vRNA	136	919	+
NP_vRNA	330	1369	+
PA_vRNA	380	1942	+
PA_vRNA	695	1570	+
PB2_vRNA	2044	2102	+
PA_vRNA	64	755	+
PB1_vRNA	387	1954	+
PA_vRNA	1144	1392	+
PA_vRNA	349	2045	+
NA_vRNA	189	1185	+
PA_vRNA	351	360	+
PB2_vRNA	388	2060	+
PB1_vRNA	428	1951	+
PA_vRNA	504	1741	+
PB1_vRNA	415	2000	+
PA_vRNA	759	1695	+
NA_vRNA	399	793	+
NP_vRNA	586	1048	+
PA_vRNA	526	1961	+
NP_vRNA	549	865	+
PB2_vRNA	201	2119	+
PB2_vRNA	609	1892	+
PA_vRNA	457	1830	+
NP_vRNA	509	1167	+
M_vRNA	390	572	+
PA_vRNA	657	2150	+
PB1_vRNA	480	2042	+
HA_vRNA	1079	1147	+
PA_vRNA	382	1905	+
PB2_vRNA	390	2014	+
M_vRNA	186	422	+
PB2_vRNA	390	2019	+
PB1_vRNA	316	2142	+
PB1_vRNA	467	1940	+
