segment	fivePrime_1	threePrime_1	fivePrime_2	threePrime_2	counts
NA_vRNA	151	625	806	1325	5
NA_vRNA	187	214	364	388	16
NA_vRNA	187	214	502	1052	8
NA_vRNA	195	1257	1306	1325	19
NA_vRNA	352	1130	1185	1257	5
NA_vRNA	364	388	502	1052	28
NA_vRNA	441	487	548	1111	1
NA_vRNA	441	487	563	1040	1
NA_vRNA	1012	1023	1185	1226	1
NP_vRNA	210	272	340	911	1
NP_vRNA	210	272	425	1197	1
NP_vRNA	212	260	325	1222	3
NP_vRNA	410	680	809	1088	1
NP_vRNA	410	680	816	1181	1
PA_vRNA	68	143	307	1994	1
PA_vRNA	72	603	665	1724	19
PA_vRNA	97	165	237	2091	1
PA_vRNA	97	165	427	1826	1
PA_vRNA	101	217	237	2091	1
PA_vRNA	105	127	223	2140	3
PA_vRNA	105	127	330	2012	1
PA_vRNA	114	176	237	2091	1
PA_vRNA	114	176	242	1999	1
PA_vRNA	114	176	308	434	1
PA_vRNA	114	176	360	2025	1
PA_vRNA	114	176	427	1826	4
PA_vRNA	114	176	476	1889	1
PA_vRNA	119	341	452	1878	1
PA_vRNA	145	465	476	1889	1
PA_vRNA	145	465	590	1789	1
PA_vRNA	157	324	452	1878	1
PA_vRNA	160	193	312	2128	1
PA_vRNA	166	193	427	1826	2
PA_vRNA	191	514	719	1742	1
PA_vRNA	224	696	743	754	402
PA_vRNA	224	696	744	755	1
PA_vRNA	224	696	2188	2197	1
PA_vRNA	242	325	360	2025	1
PA_vRNA	252	1989	2016	2043	1
PA_vRNA	252	1989	2017	2044	2
PA_vRNA	253	1990	2017	2044	1
PA_vRNA	260	302	427	1826	1
PA_vRNA	278	311	427	1826	1
PA_vRNA	284	2028	2188	2197	1
PA_vRNA	285	387	427	1826	1
PA_vRNA	285	387	538	1823	1
PA_vRNA	288	2029	2188	2197	10
PA_vRNA	289	354	479	1919	1
PA_vRNA	291	356	393	1150	1
PA_vRNA	291	356	427	1826	1
PA_vRNA	291	356	479	1919	615
PA_vRNA	291	2050	2084	2112	2
PA_vRNA	293	358	452	1878	1
PA_vRNA	296	334	473	1872	3
PA_vRNA	304	430	476	1889	18
PA_vRNA	304	2034	2188	2197	1
PA_vRNA	307	1994	2188	2197	2
PA_vRNA	308	434	450	1876	1
PA_vRNA	308	434	472	1885	5
PA_vRNA	308	434	476	1889	1710
PA_vRNA	308	434	477	1890	1
PA_vRNA	308	434	498	1928	1
PA_vRNA	309	324	360	2025	1
PA_vRNA	309	324	427	1826	1
PA_vRNA	309	327	427	1826	1
PA_vRNA	309	435	477	1890	1
PA_vRNA	311	2029	2188	2197	6
PA_vRNA	315	329	408	1957	1
PA_vRNA	324	333	434	1963	1
PA_vRNA	324	333	538	1823	40
PA_vRNA	324	334	665	1724	1
PA_vRNA	360	2025	2188	2197	37
PA_vRNA	360	2025	2189	2198	3
PA_vRNA	360	2025	2192	2201	1
PA_vRNA	416	461	665	1724	1
PA_vRNA	427	1826	1890	1989	1
PA_vRNA	427	1826	1916	2040	1
PA_vRNA	427	1826	1969	2045	2
PA_vRNA	427	1826	2188	2197	1
PA_vRNA	506	527	665	1724	4
PA_vRNA	523	617	665	1724	6
PA_vRNA	538	643	701	1656	1
PA_vRNA	592	1758	1916	2040	1
PA_vRNA	592	1758	1919	2098	1
PB1_vRNA	97	114	233	307	5
PB1_vRNA	97	114	592	634	1
PB1_vRNA	97	114	713	1958	2
PB1_vRNA	131	163	309	2154	1
PB1_vRNA	139	152	309	2154	1
PB1_vRNA	146	178	190	2099	1
PB1_vRNA	146	178	298	2150	1
PB1_vRNA	146	178	309	2154	1
PB1_vRNA	146	178	337	2185	1
PB1_vRNA	173	239	334	2090	1
PB1_vRNA	186	235	299	2229	21
PB1_vRNA	187	207	230	2138	1
PB1_vRNA	189	2210	2274	2289	1
PB1_vRNA	214	1941	1993	2087	35
PB1_vRNA	214	1941	2274	2286	3
PB1_vRNA	214	1941	2275	2288	1
PB1_vRNA	214	2195	2274	2289	27
PB1_vRNA	230	2138	2250	2292	1
PB1_vRNA	233	307	592	634	4
PB1_vRNA	233	307	713	1958	4
PB1_vRNA	241	339	372	2075	1
PB1_vRNA	241	339	377	1913	2
PB1_vRNA	241	446	551	1889	1
PB1_vRNA	242	2150	2174	2192	41
PB1_vRNA	244	345	377	1913	1
PB1_vRNA	248	273	355	2195	1
PB1_vRNA	263	2155	2274	2289	1
PB1_vRNA	275	330	415	1952	1
PB1_vRNA	288	2131	2250	2292	73
PB1_vRNA	298	2150	2250	2292	1
PB1_vRNA	298	2150	2274	2287	1
PB1_vRNA	309	2154	2206	2268	1
PB1_vRNA	309	2154	2250	2292	2
PB1_vRNA	312	2110	2274	2287	1
PB1_vRNA	363	2021	2167	2210	1
PB1_vRNA	368	385	427	2019	1
PB1_vRNA	368	385	430	2005	1
PB1_vRNA	368	385	439	1969	1
PB1_vRNA	368	385	439	1970	2
PB1_vRNA	368	385	440	1971	1
PB1_vRNA	368	385	442	1981	6
PB1_vRNA	368	385	443	1973	2059
PB1_vRNA	368	385	445	1976	1
PB1_vRNA	368	385	468	2019	1
PB1_vRNA	368	385	2060	2076	1
PB1_vRNA	369	386	444	1974	7
PB1_vRNA	370	2014	2152	2195	1
PB1_vRNA	372	389	443	1973	1
PB1_vRNA	372	2015	2146	2193	1
